Time,rotX,rotY,rotZosboxe
1582684321372,7.8156916E-4,0.0049020797,-0.011596418
1582684321421,0.01863852,0.00787432,-0.007229181
1582684321471,0.013908497,0.011635384,0.009035341
1582684321521,-0.009850884,0.009794409,-0.0062071662
1582684321572,-0.007978048,0.0016771201,-0.0042486833
1582684321622,-4.051698E-4,-0.00596191,0.0053382358
1582684321672,2.8045103E-4,-9.6456707E-4,0.0046526147
1582684321721,-0.005123212,0.0037051258,0.00587494
1582684321771,0.0015519827,0.0070422958,-0.0028023848
1582684321821,0.0038031058,0.0024394859,0.0016216862
1582684321871,-0.0055910116,-5.582478E-4,0.0045949994
1582684321921,-0.014638206,-0.0028063636,0.0038029237
1582684321971,0.0039355736,0.0033848956,0.0028030828
1582684322021,-0.004854978,-0.0025520371,0.013986173
1582684322072,-0.029825605,-0.004976754,-0.0050453423
1582684322122,0.005496042,0.0051050507,-0.012338853
1582684322171,0.021297826,0.008768736,0.0035876154
1582684322222,-0.0041511403,0.008740993,-0.0040808106
1582684322272,-0.011462666,0.003698993,-0.0039517386
1582684322321,0.008703132,0.0016011223,0.0013130142
1582684322371,0.0022682135,0.0016208426,0.0028291738
1582684322421,-0.012931539,3.245147E-4,0.0034386262
1582684322472,9.8977005E-5,0.0035605966,-0.0027505353
1582684322521,0.006780358,6.4403284E-4,0.0027751273
1582684322571,-0.008602908,9.339703E-4,0.0025425141
1582684322621,-0.013069012,-4.0106755E-4,6.6502555E-4
1582684322671,0.0034422555,0.002514408,0.0014552439
1582684322721,0.007988364,0.0046515213,-0.0028023848
1582684322771,-0.010985492,0.0014301706,9.558571E-4
1582684322822,-0.008108666,0.0063308235,-0.01309985
1582684322872,0.019414542,0.0014684903,-0.0036519344
Time,rotX,rotY,rotZosboxe
1582684312921,6.647315E-6,0.0038953256,0.002073085
1582684312971,9.101443E-4,0.009154656,-0.0077441484
1582684313021,-0.009273104,-3.2441178E-4,-0.0055155586
1582684313071,-0.012942065,-0.001859054,-0.0034027388
1582684313121,-0.0061517623,-0.0050621126,-0.0028312807
1582684313172,-0.01266196,-0.0075623402,2.5473535E-4
1582684313221,-0.0026968415,-2.3021782E-4,-0.005595411
1582684313271,-0.0036433563,6.4112246E-6,-0.0013536653
1582684313321,-0.012371308,-0.007921673,0.008645434
1582684313371,-6.444156E-4,-0.0074213743,-0.008262061
1582684313422,0.011302806,0.0060014185,-0.018058684
1582684313471,0.0038111266,-0.0031547416,0.0061753923
1582684313522,-0.0026028194,0.004971568,-0.0014284244
1582684313572,-0.013283132,-6.1711855E-4,-0.0058411667
1582684313621,-0.007834439,-0.0035029761,-0.0061654365
1582684313671,-9.107799E-4,-0.005779365,0.0072619347
1582684313721,-0.009670497,-1.551928E-4,0.0032831132
1582684313772,0.0014856979,0.0020769062,-0.009667201
1582684313822,-0.0010714899,-0.0022242023,-7.3179416E-4
1582684313871,-0.004833336,0.0015376429,-0.0015811669
1582684313922,-0.0065185195,2.026041E-4,6.840001E-4
1582684313971,-0.006423258,9.177546E-4,-0.002486546
1582684314022,-0.002353487,0.0023972578,-0.005755496
1582684314072,-0.006189388,3.9283233E-4,9.1969594E-4
1582684314122,-0.013429414,-0.00597425,0.0029736208
1582684314171,-0.0013800985,0.0048959143,-0.021246925
1582684314222,0.0039375164,0.0017773705,-0.0019165287
1582684314272,0.006911977,0.003018978,0.0065608677
1582684314321,-0.009031081,0.00521766,-0.0023130067
1582684314371,-0.017014166,-0.0011147829,-0.0026557595
1582684314421,-0.0020036488,0.0010354067,-0.0029991106
1582684314471,-0.0010057553,-0.0023673614,0.004808833
1582684314521,-0.010808525,0.0032528322,-0.0025664535
1582684314571,-0.007735518,0.0021949597,-0.0058411667
1582684314621,-0.0019115615,0.0015930347,-0.0041347495
1582684314672,-0.0049129957,0.0036708298,-0.006322997
1582684314722,-0.011082091,0.0015839217,-0.007658036
1582684314772,-0.004554991,9.576599E-4,-0.007971167
1582684314822,-2.900418E-4,2.768156E-4,-0.0034842186
1582684314872,-0.010288218,-0.0017403532,-0.0026461668
1582684314922,-0.022104561,-0.010376653,-0.005714271
1582684314972,0.0035123825,5.665608E-4,-0.025573324
1582684315021,0.02508244,0.0040560756,0.0031153914
1582684315072,0.0070480797,0.00734766,0.008800978
1582684315121,-0.023158258,0.005783297,-0.010901072
1582684315172,-0.00874337,-0.0032001091,-0.0049039554
1582684315222,0.014952609,-3.6459928E-4,0.0055446485
1582684315271,-0.0035583293,0.0014621392,0.005929876
1582684315321,-0.021552924,0.008931802,-0.0113990195
1582684315372,-0.002874177,0.0046515213,-0.0059878854
1582684315421,0.014019818,0.0061148135,-0.0011520677
1582684315471,4.9968786E-4,0.008135798,-8.345335E-4
1582684315521,-0.0062943893,0.0076616807,-0.0087786615
1582684315572,0.0034328394,0.0028623175,-0.0045915884
1582684315621,0.014479977,0.006426284,0.0050114123
1582684315672,-0.0063231317,-0.001786802,0.0113654
1582684315721,-0.015477971,9.943591E-4,-0.019907158
1582684315772,0.004172763,-0.0077988543,0.0018868542
1582684315821,0.007596908,0.0068277023,0.011922891
1582684315871,-0.014665359,0.0018667653,0.0016663179
1582684315921,-0.01617483,-0.0037139505,-5.1785656E-4
1582684315971,0.013666664,0.005487128,0.0013101867
1582684316021,0.0048600687,0.0016613742,0.006602439
1582684316071,-0.011840605,2.2678543E-4,-0.0014079127
1582684316121,0.0026615176,0.005155772,-0.008491448
1582684316172,0.02495767,0.008495782,-0.004049604
1582684316222,0.0013330651,0.007972937,0.009577724
1582684316271,-0.015969409,-0.0020133378,8.734579E-4
1582684316321,0.0029798083,1.6429462E-5,-1.0750722E-4
1582684316371,0.0057552923,-9.135464E-4,0.010702653
1582684316421,-0.018529814,-0.009193478,0.006517917
1582684316471,-0.012578671,-8.881865E-4,-0.014531502
1582684316522,0.023397218,0.0039892523,0.0019498433
1582684316572,0.030788297,0.014373869,0.007023528
1582684316621,0.0030911916,0.012301965,-0.0052710976
1582684316672,-0.007782039,0.004195273,-0.008432391
1582684316721,0.00901611,0.0020151474,0.002924483
1582684316772,-0.005141751,-0.009193478,0.01586953
1582684316821,-0.018183442,-0.0067221,0.006447075
1582684316871,-0.010528621,-4.922934E-4,0.0018199862
1582684316921,-0.0043232855,0.0012846529,0.0044807466
1582684316972,-0.008534063,-0.0018366501,0.0083235875
1582684317021,-0.0099617075,-2.2600591E-4,-0.0011594882
1582684317071,-0.0071745487,8.2202675E-4,-0.0042978902
1582684317122,-0.011715992,-0.0090047885,0.004620635
1582684317172,-0.015241242,-0.017916923,0.0027711184
1582684317221,-0.008750984,-0.005572142,-0.01928882
1582684317271,-0.0072465744,-0.009774858,-0.007983334
1582684317321,-0.0028404405,-7.409267E-4,-0.01402527
1582684317371,0.002758769,-0.0059613474,-0.013874968
1582684317422,0.012259973,-0.011452282,-0.009592623
1582684317472,0.0062221363,-0.007455863,-0.0015133705
1582684317522,-0.0021786836,-0.00894819,0.0130111715
1582684317572,-0.008714974,-0.0025086906,0.0079950085
1582684317621,-0.002539948,1.6138842E-4,0.010582349
1582684317671,0.0020329228,0.0055813543,0.0069853654
1582684317721,0.0024104507,0.007846521,-2.4242932E-4
1582684317771,0.014288002,0.0075214203,0.0027580198
1582684317821,0.013027507,0.004851343,0.011707971
1582684317871,-0.0027818626,0.00428915,0.0022929304
1582684317922,-5.505474E-4,0.012432856,-0.015539387
1582684317972,0.020338982,0.008024228,0.0048327968
1582684318021,0.014925056,0.00801603,0.012785654
1582684318071,-0.012292445,0.003910385,0.003540911
1582684318122,-0.012962607,0.0064728158,-0.007432797
1582684318171,0.012100211,0.0015612817,0.005403335
1582684318222,0.0012662413,-4.930468E-4,0.012490491
1582684318271,-0.0057102973,0.0047178995,-0.0026686445
1582684318321,0.0019706,7.056999E-4,0.0050264215
1582684318371,0.0035334134,0.0014275396,0.007254986
1582684318421,-0.005521792,0.0057165213,-0.0029480834
1582684318472,-4.7614332E-5,0.004201038,-0.004789159
1582684318521,0.0024104507,-0.0036376398,0.012644985
1582684318571,-0.0071709976,0.0019341959,-0.004939488
1582684318622,0.0073798634,0.008506017,-0.009700368
1582684318672,0.019076152,0.008047942,0.0076747388
1582684318722,-0.0035696581,0.007864343,0.0016001856
1582684318772,-0.016871804,0.0015126485,-0.0036151665
1582684318821,-0.0035802072,-6.939648E-4,-7.1335654E-4
1582684318871,0.002683155,-0.0011930708,0.0070036864
1582684318922,-0.00927524,0.006760205,-0.0048977463
1582684318971,-0.0034451967,0.008644963,-0.016380826
1582684319021,-2.6434404E-4,0.0046269316,-0.010216402
1582684319071,-0.0115291905,-0.0033833003,0.0023273465
1582684319121,-0.008087761,-0.0016567465,0.0035292355
1582684319172,0.005605451,0.005998237,-0.0014556691
1582684319222,-0.004877883,-3.912868E-4,0.00484516
1582684319271,-0.015451343,-0.0037763054,-0.0039928723
1582684319321,-0.0066110585,0.0015906855,-0.0047713877
1582684319371,0.010143643,0.0076721343,2.701308E-4
1582684319421,-0.010851298,0.0065750573,-0.0033692955
1582684319472,-0.010290443,-0.003947586,0.003666721
1582684319522,0.01186892,0.0077199894,-0.003572144
1582684319571,0.003813695,0.002781488,0.0057693208
1582684319621,-0.0070749745,0.001755245,0.0052197427
1582684319671,0.008368929,0.0072065466,-0.0021624102
1582684319721,0.006818313,0.0064949156,-0.0020239903
1582684319771,-0.010610907,-8.296063E-4,-0.005102847
1582684319821,-0.007001628,-0.0036119623,5.208736E-4
1582684319872,0.0042171236,-8.7181106E-4,-0.005475725
1582684319921,-9.3856663E-4,-0.0038684784,-0.0016656779
1582684319971,-0.00825566,-0.0018180022,-0.0071655596
1582684320021,0.026066495,6.8616774E-4,-0.01111883
1582684320071,0.029435856,2.0834524E-4,0.014650923
1582684320121,-0.016409108,0.004112183,-0.0050063184
1582684320171,-0.0053615095,0.005336796,-0.011288149
1582684320221,0.0050388062,-0.0044954196,0.003965378
1582684320272,-0.0020744477,-0.009418378,0.012893452
1582684320322,-0.009553395,-3.6742073E-4,0.009614346
1582684320372,3.8280105E-4,2.89171E-4,-0.002007093
1582684320422,-5.923973E-4,-0.0038684784,0.009156888
1582684320471,-0.01206978,-0.0047673937,0.009743042
1582684320522,-0.01707433,-0.0049900236,0.001457615
1582684320571,0.0054728426,0.0065059466,0.0029411556
1582684320621,0.0036538213,0.0016445117,0.012767776
1582684320671,-0.0012466605,0.004330187,-0.015362048
1582684320722,0.013018492,0.0067815213,-0.010436325
1582684320771,0.028170248,0.007939643,0.01655386
1582684320821,0.005749126,0.011288682,0.012098572
1582684320871,-0.011666267,0.005623683,0.0058564954
1582684320921,0.0055897143,0.0065192054,0.005701878
1582684320972,0.006641292,0.0054539163,0.012771417
1582684321021,-0.011363147,0.008123994,0.008080198
1582684321071,-0.010988173,0.007028971,6.996398E-5
1582684321121,-0.0031016616,0.0013102065,0.004026559
1582684321172,0.0024104507,0.0020556594,0.005118476
1582684321221,-0.002388592,0.0060226764,-0.0022764278
1582684321271,-0.010778244,0.0010478259,-0.003976769
1582684321321,-0.0070138937,-0.0048738923,0.003950406
1582684321372,7.8156916E-4,0.0049020797,-0.011596418
1582684321421,0.01863852,0.00787432,-0.007229181
1582684321471,0.013908497,0.011635384,0.009035341
1582684321521,-0.009850884,0.009794409,-0.0062071662
1582684321572,-0.007978048,0.0016771201,-0.0042486833
1582684321622,-4.051698E-4,-0.00596191,0.0053382358
1582684321672,2.8045103E-4,-9.6456707E-4,0.0046526147
1582684321721,-0.005123212,0.0037051258,0.00587494
1582684321771,0.0015519827,0.0070422958,-0.0028023848
1582684321821,0.0038031058,0.0024394859,0.0016216862
1582684321871,-0.0055910116,-5.582478E-4,0.0045949994
1582684321921,-0.014638206,-0.0028063636,0.0038029237
1582684321971,0.0039355736,0.0033848956,0.0028030828
1582684322021,-0.004854978,-0.0025520371,0.013986173
1582684322072,-0.029825605,-0.004976754,-0.0050453423
1582684322122,0.005496042,0.0051050507,-0.012338853
1582684322171,0.021297826,0.008768736,0.0035876154
1582684322222,-0.0041511403,0.008740993,-0.0040808106
1582684322272,-0.011462666,0.003698993,-0.0039517386
1582684322321,0.008703132,0.0016011223,0.0013130142
1582684322371,0.0022682135,0.0016208426,0.0028291738
1582684322421,-0.012931539,3.245147E-4,0.0034386262
1582684322472,9.8977005E-5,0.0035605966,-0.0027505353
1582684322521,0.006780358,6.4403284E-4,0.0027751273
1582684322571,-0.008602908,9.339703E-4,0.0025425141
1582684322621,-0.013069012,-4.0106755E-4,6.6502555E-4
1582684322671,0.0034422555,0.002514408,0.0014552439
1582684322721,0.007988364,0.0046515213,-0.0028023848
1582684322771,-0.010985492,0.0014301706,9.558571E-4
1582684322822,-0.008108666,0.0063308235,-0.01309985
1582684322872,0.019414542,0.0014684903,-0.0036519344
