Time,rotX,rotY,rotZosboxe
1583285021337,0.0011318903,0.004466938,1.2867991E-4
1583285021387,-0.0012959342,-0.004654518,-7.903115E-4
1583285021437,6.5092463E-4,0.0018721456,-1.04224775E-4
1583285021488,6.5092463E-4,0.0012942022,2.7468847E-4
1583285021537,-9.149988E-5,-0.0019449266,2.7468847E-4
1583285021588,4.2086106E-4,9.2755584E-4,-1.5699957E-4
1583285021638,-7.778333E-4,-0.0034376984,-8.906936E-5
1583285021687,0.004442333,0.009552719,0.0012459704
1583285021737,-0.00165621,-0.0037824796,9.755371E-5
1583285021787,-0.0016497266,-0.005545244,-7.903115E-4
1583285021837,0.0031719897,0.0069670402,6.441148E-4
1583285021887,-0.0019998392,-0.0059344773,-6.3481554E-4
1583285021937,-9.022012E-4,-8.55193E-4,2.7468847E-4
1583285021988,7.9126516E-4,0.001144751,2.7468847E-4
1583285022038,0.0010506634,0.001320275,-4.5768078E-4
1583285022087,-2.88893E-4,-0.0016959854,2.1209707E-4
1583285022138,4.5702409E-4,-7.5004017E-4,-0.0014675101
1583285022187,4.9864873E-5,1.2105936E-4,2.7468847E-4
1583285022238,-8.305407E-5,-6.129197E-4,-4.592901E-4
1583285022288,-4.1407533E-4,6.007729E-5,-7.903115E-4
1583285022338,0.0010887533,0.0027086018,2.7468847E-4
1583285022387,-9.999797E-4,-0.002222558,2.7468847E-4
1583285022438,3.3505983E-4,0.0016193294,2.7468847E-4
1583285022487,-3.682488E-4,-0.0028448082,-7.4448483E-4
1583285022538,0.0014356468,0.0026994392,2.7468847E-4
1583285022587,-1.493122E-4,-0.0012146509,2.7468847E-4
1583285022638,7.8876177E-4,7.09896E-5,-4.8960233E-4
1583285022687,-0.0014484056,-0.00310461,-7.903115E-4
1583285022737,1.721856E-4,7.073204E-4,2.7468847E-4
1583285022787,-4.6025938E-4,0.0010936907,-2.3471937E-4
1583285022837,-9.079705E-4,-0.0021400736,-7.903115E-4
1583285022887,6.2150345E-4,0.0032130852,-7.903115E-4
1583285022937,-9.6839486E-4,-0.0028186007,-7.903115E-4
1583285022988,6.5092463E-4,-4.3280376E-4,-7.903115E-4
1583285023037,-1.444933E-4,-0.0012001949,5.1064417E-6
1583285023088,0.002779853,0.005443559,2.7468847E-4
1583285023137,-0.0017309878,-0.0035777655,-5.192822E-4
1583285023187,6.5092463E-4,6.410405E-4,2.7468847E-4
1583285023238,-1.6413257E-4,-6.939983E-4,-5.403687E-4
1583285023287,-3.7225243E-4,-0.0019252952,-7.6940004E-4
1583285023337,0.0017159248,0.0028325154,2.7468847E-4
1583285023387,-0.0010828048,-0.0028956379,2.7468847E-4
1583285023437,0.001367318,0.0021476434,2.7468847E-4
1583285023488,-4.1407533E-4,5.212985E-5,2.7468847E-4
1583285023537,-1.0878383E-4,-0.002008941,-3.060326E-5
1583285023587,6.5092463E-4,-8.5739745E-4,-2.1453993E-4
1583285023638,6.5092463E-4,9.665969E-4,2.7468847E-4
1583285023687,0.0015646983,9.34015E-4,2.242797E-4
1583285023737,-8.381793E-4,-0.0025367006,-7.903115E-4
1583285023787,-5.300486E-4,-0.0011758874,-7.903115E-4
1583285023837,0.0019630294,0.0038102688,-7.903115E-4
1583285023887,-0.0012168179,-0.004613861,2.091243E-4
1583285023938,0.0017733418,0.0016941719,-4.544505E-4
1583285023988,1.9238226E-4,-0.0017131101,2.7468847E-4
1583285024038,0.0015274214,0.004503542,2.7468847E-4
1583285024088,-0.0013160033,-0.0035681878,2.7468847E-4
1583285024138,-3.7444872E-5,0.0012509511,2.7468847E-4
1583285024188,-2.8157828E-4,-8.019805E-5,2.7468847E-4
1583285024238,-2.1786336E-4,-3.5530562E-4,0.0011434769
1583285024288,5.7634036E-4,1.2105936E-4,-7.903115E-4
1583285024338,-7.5794116E-4,-2.2280682E-4,-7.903115E-4
1583285024387,3.6263873E-4,0.0015116776,-7.903115E-4
1583285024438,-0.002703793,-0.0072912644,9.363191E-5
1583285024488,0.0024249924,0.0074842796,-7.013283E-4
1583285024537,-4.2989966E-5,-0.0016137273,2.7468847E-4
1583285024588,2.6468094E-4,0.0010426324,2.7468847E-4
1583285024638,-0.0014790753,-0.004706238,-6.244108E-4
1583285024688,0.0014035089,0.0036520888,-7.903115E-4
1583285024738,3.9324607E-4,0.0017940947,-7.903115E-4
1583285024788,-0.0013103802,-0.0021197028,-7.903115E-4
1583285024838,0.0017257163,0.0059276666,1.239446E-4
1583285024887,-5.3346204E-4,-4.7587417E-4,2.7468847E-4
1583285024937,-3.0862936E-4,-0.0020827516,-1.1546025E-4
1583285024987,3.9655785E-4,6.773253E-4,-7.903115E-4
1583285025038,-4.1407533E-4,9.1630593E-4,1.3981201E-4
1583285025087,2.6225438E-4,6.7925034E-4,1.3942271E-4
1583285025138,-7.9009216E-4,4.340252E-4,-0.0016047424
1583285025187,-0.012040096,-0.028189043,4.813904E-4
1583285025237,0.03242416,0.08198741,0.0014543091
1583285025288,-0.015173725,-0.038165364,-0.0015444751
1583285025338,-0.0102728205,-0.027512128,0.0011256039
1583285025387,0.025885615,0.066261545,0.0010136962
1583285025438,-0.045097988,-0.10922461,-6.908467E-4
1583285025488,0.020199258,0.05250508,4.4526346E-4
1583285025538,0.0026325742,0.005625393,8.9907553E-4
1583285025588,-0.0046916986,-0.00844398,-4.359642E-4
1583285025637,-5.1888824E-4,-0.0054135663,1.9113021E-4
1583285025687,0.0056914287,0.018623304,7.824977E-4
1583285025738,-0.0039159954,-0.0134216305,-0.0013995413
1583285025787,0.0028757765,0.00437385,-6.4502936E-5
1583285025838,0.007898468,0.02478208,2.7468847E-4
1583285025888,-0.011306335,-0.032696042,-0.0023176502
1583285025937,0.00126667,0.005018475,7.4561406E-4
1583285025988,0.01236812,0.031520274,-1.4224136E-4
1583285026038,0.009710891,0.017715963,-0.0038233213
1583285026087,-0.04849731,-0.12591411,-0.0022569692
1583285026137,0.029205468,0.07733151,0.0045346883
1583285026187,0.009937783,0.021522587,-9.3572494E-4
1583285026237,-0.019345611,-0.060981248,-8.14158E-4
1583285026288,0.011398216,0.034976788,0.002695261
1583285026337,-0.006206805,-0.013525313,2.7468847E-4
1583285026387,0.004100019,0.011270793,0.0010729101
1583285026437,0.0069626914,0.014832215,-7.935711E-4
1583285026488,-0.011134344,-0.029420802,-0.0013082942
Time,rotX,rotY,rotZosboxe
1583285016538,-0.041208785,-0.10291064,-3.0279532E-4
1583285016588,0.05243486,0.13023336,0.0012539942
1583285016638,-0.015978292,-0.037636075,-7.4718334E-4
1583285016688,3.6273221E-4,-0.0023127426,-1.4269399E-4
1583285016737,0.016628921,0.042885877,-5.5671204E-4
1583285016787,-0.0318577,-0.07786382,-0.0015734821
1583285016837,0.011947019,0.029390898,6.836038E-4
1583285016888,-0.0032684735,-0.0062868674,-7.4718334E-4
1583285016937,7.3608593E-4,0.0021673026,1.4263485E-4
1583285016988,0.003845846,0.009882646,3.1781662E-4
1583285017037,-0.0036683383,-0.0075750505,-4.694611E-5
1583285017088,0.0031756836,0.006615293,-8.653384E-5
1583285017137,-0.0037189897,-0.0060980883,-6.279694E-4
1583285017187,0.0014473514,0.0030503804,-5.9645064E-4
1583285017237,-7.3019986E-4,-0.0013047219,-1.03278086E-4
1583285017287,7.962147E-4,0.0010564812,-5.5557117E-5
1583285017337,7.470844E-4,0.0034588464,-6.401832E-4
1583285017388,-0.003048332,-0.0041502775,-7.4718334E-4
1583285017438,0.001398525,0.0025200078,-3.1446293E-4
1583285017488,-8.7219756E-4,-0.0019466612,3.1781662E-4
1583285017538,2.685464E-4,-2.8404966E-4,-6.5900385E-4
1583285017587,8.7064365E-4,0.0024425453,-5.6532305E-4
1583285017637,-0.0013062183,-0.0010693553,3.1781662E-4
1583285017687,0.00197696,0.00232266,3.1781662E-4
1583285017738,-0.0022968033,-0.0016080416,3.1781662E-4
1583285017787,-1.3788219E-4,-3.171037E-4,3.1781662E-4
1583285017837,1.9691861E-4,-4.843017E-5,3.1781662E-4
1583285017888,-8.59821E-4,-0.0023010592,3.1781662E-4
1583285017938,0.0024894832,0.0030625113,3.1781662E-4
1583285017987,-0.0015969158,-0.0017609815,3.1781662E-4
1583285018038,3.3193012E-4,0.0015029036,8.0002844E-4
1583285018087,5.130649E-4,8.334811E-4,6.6614384E-4
1583285018137,-0.0024722423,-0.0038186428,-6.5234676E-4
1583285018188,0.00142213,0.0021108917,3.1781662E-4
1583285018237,8.777063E-5,-1.14094466E-4,3.1781662E-4
1583285018288,1.8343632E-4,8.8825496E-4,3.1781662E-4
1583285018338,-0.0024230897,0.002286846,3.1781662E-4
1583285018388,-0.00509461,-0.0075223898,-7.4718334E-4
1583285018438,-0.0011356318,0.0030669821,-2.8589927E-4
1583285018488,-0.0027258864,-3.687418E-4,-4.1350676E-4
1583285018538,-0.0047290446,-0.0030381535,2.5494536E-4
1583285018588,2.2770232E-4,1.3229251E-4,3.1781662E-4
1583285018638,0.0017663853,0.005790481,-1.5862426E-4
1583285018687,-0.0029706417,-0.0059946873,-7.0407987E-7
1583285018738,0.006632196,0.005336402,3.1781662E-4
1583285018787,0.004485948,0.0030447098,-5.256254E-4
1583285018837,-0.0043003196,-0.0077079427,8.094134E-4
1583285018888,0.008459258,0.014182558,0.001382817
1583285018937,-0.0011303539,-0.008395053,3.511426E-4
1583285018988,-0.0017150613,-0.0011448679,8.110283E-5
1583285019037,5.845793E-4,-0.0024799067,-2.404307E-4
1583285019088,0.0025591769,0.010098992,0.0010905899
1583285019138,-0.003560969,-0.016171955,-6.997697E-4
1583285019187,0.0035614215,0.0067061856,-5.0085085E-4
1583285019238,5.008264E-4,-8.7589584E-4,-1.9855425E-4
1583285019287,0.0023844948,0.0035317205,3.9227307E-5
