Time,accX,accY,accZ
Time,accX,accY,accZ
1582926185060,-3.812924,-7.8126936,-2.587467
1582926185110,-3.5761569,-6.3438826,-3.0828867
1582926185159,-3.5646703,-6.3031774,-2.869853
1582926185210,-4.293271,-6.8695517,-2.513146
1582926185260,-4.3939667,-6.2438383,-3.0373201
1582926185310,-4.4350996,-7.0908613,-3.2702825
1582926185360,-5.6912613,-9.814684,-3.2076602
1582926185410,-5.787075,-9.619415,-3.8337922
1582926185460,-5.304677,-13.276848,-2.0552948
1582926185510,-3.8597498,-10.675739,-0.33232087
1582926185560,-3.4332197,-6.1736803,-0.66942257
1582926185610,-4.991604,-7.931987,-0.42871642
1582926185660,-5.165814,-6.748323,-1.2168245
1582926185710,-4.773662,-6.170438,-1.1540754
1582926185760,-5.100262,-6.806607,-1.0647553
1582926185810,-5.1553297,-6.1956573,-1.8093598
1582926185860,-5.1833353,-5.413184,-1.9134856
1582926185910,-5.840335,-6.785791,-1.2785823
1582926185959,-6.7169356,-9.722941,-1.3393431
1582926186010,-7.5629883,-12.843032,-1.0152519
1582926186060,-5.372556,-13.015371,0.33697894
1582926186110,-3.7055879,-7.5268483,-0.382447
1582926186159,-3.6781049,-7.5522513,-1.4540848
1582926186209,-3.5745115,-7.6516666,-2.2290328
1582926186260,-3.439112,-6.3950357,-2.925674
1582926186310,-3.6278462,-6.677478,-2.7910526
1582926186360,-4.3161325,-7.247806,-2.5563004
1582926186410,-4.1346817,-6.299364,-3.1996412
1582926186460,-4.151585,-7.552827,-3.3521733
1582926186510,-6.063275,-10.244354,-3.1707554
1582926186559,-6.5652003,-10.639527,-3.4638996
1582926186610,-5.2733765,-13.323881,-1.2148855
1582926186659,-3.3015015,-8.495451,-0.42866042
1582926186710,-3.1803656,-6.3701305,-0.68893313
1582926186759,-4.9308133,-8.500064,-0.3383455
1582926186810,-5.2897577,-6.848238,-1.0854077
1582926186860,-4.7504845,-6.569944,-1.3069181
1582926186910,-4.7158036,-6.877856,-1.5956755
1582926186960,-4.945751,-6.118805,-2.011751
1582926187010,-5.2923613,-5.7306924,-1.8831675
1582926187060,-5.998238,-7.3059497,-1.5008243
1582926187109,-6.7909236,-9.473029,-1.8757083
1582926187160,-7.1604085,-11.493943,-1.5693886
1582926187210,-5.439805,-12.925407,0.2345311
1582926187260,-3.935499,-8.502474,-0.056768715
1582926187310,-3.816582,-7.8796163,-1.5216751
1582926187360,-3.4490793,-8.147664,-2.0845816
1582926187410,-3.3346689,-6.726812,-3.0919743
1582926187460,-3.4733398,-6.27651,-3.049827
1582926187510,-4.1603646,-6.9458838,-2.3049154
1582926187559,-4.315948,-6.5777726,-2.8094149
1582926187610,-4.430277,-7.4287963,-3.1967943
1582926187660,-5.6474695,-9.908081,-2.7800696
1582926187710,-6.097182,-8.605038,-4.0115314
1582926187760,-5.1028624,-12.58436,-2.4733129
1582926187810,-4.003833,-12.124403,-0.10661043
1582926187859,-3.0698643,-6.3265743,-1.3032553
1582926187909,-4.097886,-8.358089,-0.9445487
1582926187960,-4.8166375,-7.2182198,-0.98561275
1582926188010,-4.546898,-6.1458163,-1.2593752
1582926188060,-4.5436544,-6.6727457,-1.3018432
1582926188110,-4.823369,-6.458727,-1.9282569
1582926188160,-5.0215425,-5.630481,-1.9799025
1582926188210,-6.13873,-7.046419,-1.3843191
1582926188260,-7.087631,-9.56179,-1.7974064
1582926188310,-7.739421,-13.062751,-1.1785038
1582926188360,-5.441266,-16.175518,0.87342376
1582926188410,-3.6409788,-8.947002,-0.30226046
1582926188460,-3.0357351,-6.730235,-0.5524174
1582926188509,-3.2861085,-6.5886664,-1.8273618
1582926188560,-3.3203278,-6.429722,-3.079861
1582926188610,-3.47628,-5.679986,-1.9206653
1582926188660,-4.2828183,-5.573878,-1.9692278
1582926188710,-4.5289555,-6.2034,-3.2225776
1582926188760,-3.8384135,-6.7461047,-2.7289717
1582926188810,-5.2213635,-8.85823,-2.9191854
1582926188860,-6.2353063,-12.496834,-3.463092
1582926188910,-6.2493033,-18.493544,-2.2341824
1582926188959,-3.8126888,-8.353421,-1.961464
1582926189009,-1.7873354,-6.2904167,-0.95306015
1582926189060,-3.627624,-6.880011,-1.304019
1582926189110,-4.880019,-5.9602985,-1.503364
1582926189160,-4.4735727,-6.230411,-1.3257536
1582926189210,-4.660048,-6.70391,-2.0188344
1582926189260,-5.1187797,-6.034842,-2.3382535
1582926189310,-5.040341,-5.173048,-1.4341809
1582926189360,-6.0380626,-7.8954616,-1.2907381
1582926189409,-7.3606653,-12.538211,-1.4929243
1582926189460,-6.4595103,-16.727371,-0.7608926
1582926189510,-3.782465,-9.065917,-1.3705095
1582926189560,-2.5887444,-6.609419,-1.2038598
1582926189610,-2.9931476,-7.4387546,-1.3490005
1582926189660,-3.4855459,-6.775064,-2.658414
1582926189710,-3.311477,-6.734927,-2.9023151
1582926189760,-3.813371,-7.104869,-2.5407681
1582926189810,-4.233536,-6.737386,-2.7563305
1582926189860,-4.1420283,-6.223419,-2.9885926
1582926189910,-4.8449755,-8.647418,-2.604449
1582926189960,-6.0357904,-9.294153,-3.2045856
1582926190010,-5.495931,-12.044718,-2.8133736
1582926190060,-4.0436363,-14.577642,-0.27685976
1582926190110,-2.6336977,-6.74531,-1.2997463
1582926190160,-3.6482768,-7.4050364,-1.3788682
1582926190210,-4.4822693,-7.7223024,-1.080708
1582926190260,-4.4131575,-5.9640236,-1.4266771
1582926190310,-4.7359405,-6.137243,-1.1201371
1582926190360,-4.9887366,-6.319651,-1.773881
1582926190410,-5.071968,-5.5639772,-2.2484221
1582926190459,-5.6524663,-6.6389747,-1.7648534
1582926190510,-6.5948114,-10.363017,-1.7225623
1582926190560,-7.363433,-12.871415,-1.6152971
1582926190610,-5.305698,-14.6556015,-0.19672132
1582926190660,-2.5549197,-8.332806,0.011486918
1582926190710,-2.5727215,-6.9062476,-0.6632673
1582926190760,-3.121609,-7.507402,-1.7597435
1582926190810,-3.0442722,-6.526479,-2.8492696
1582926190860,-3.4086506,-6.546324,-2.8749456
1582926190909,-4.4971585,-7.2629137,-2.2673037
1582926190960,-4.574305,-6.3211627,-2.5950098
1582926191010,-4.3627005,-6.9508076,-2.9105477
1582926191060,-5.659168,-10.504789,-2.73063
1582926191110,-6.965999,-11.810161,-2.9079366
1582926191160,-5.5251474,-13.948242,-0.9184776
1582926191210,-2.8993292,-8.52006,-0.26855272
1582926191259,-2.2721686,-6.122443,-0.3761009
1582926191309,-4.6168585,-8.422769,-0.00919643
1582926191359,-5.785911,-6.793544,-0.68648374
1582926191410,-5.3172297,-6.20219,-0.12454325
1582926191459,-5.4217286,-6.897782,-0.36251974
1582926191510,-5.2212787,-6.3642445,-1.6591967
1582926191560,-5.0197024,-5.642144,-1.8014598
1582926191610,-5.6236186,-6.6762867,-1.2235898
1582926191659,-6.7559185,-9.220397,-1.2892115
1582926191710,-6.9054265,-9.98182,-1.8288196
1582926191760,-5.7099037,-12.622935,0.23488814
1582926191810,-4.536346,-10.736862,0.9012565
1582926191860,-5.2687645,-8.95694,-1.0117636
1582926191909,-4.4038424,-9.562658,-1.8236774
1582926191960,-3.4703796,-7.020024,-2.870265
1582926192010,-3.1246805,-5.517546,-3.222877
1582926192060,-3.8963518,-6.2546983,-2.5586576
1582926192109,-4.6781363,-6.535624,-2.489288
1582926192160,-4.5143914,-5.943332,-2.8250659
1582926192210,-5.254234,-8.596979,-2.6636043
1582926192260,-7.058546,-9.270067,-2.9439726
1582926192309,-6.458922,-9.629811,-2.887196
1582926192360,-5.652876,-13.485445,-0.5949129
1582926192410,-3.3319483,-8.7096195,-0.59632754
1582926192460,-3.28302,-7.6286783,-1.2259892
1582926192510,-5.048095,-8.704078,-1.0987599
1582926192559,-4.9827123,-6.6907563,-1.0484643
1582926192610,-4.610778,-6.226223,-0.70187
1582926192660,-4.7566013,-6.6298146,-1.2188015
1582926192709,-4.743735,-5.891501,-1.8067052
1582926192760,-4.8802915,-5.4164505,-1.6665945
1582926192809,-5.964671,-6.660431,-0.6759328
1582926192860,-7.3074083,-9.235711,-0.769252
1582926192910,-7.3359733,-13.104176,-0.12175596
1582926192959,-5.2734103,-13.591451,1.4894556
1582926193010,-4.822369,-8.398912,-0.026749492
1582926193060,-4.2015452,-7.901994,-0.9496014
1582926193109,-3.7254598,-7.164793,-1.9184377
1582926193160,-3.2526364,-5.961558,-3.1626444
1582926193210,-3.285238,-6.2443094,-3.2107475
1582926193260,-4.255879,-7.0621285,-2.8571672
1582926193310,-4.4506555,-6.2411366,-3.2382698
1582926193359,-4.516354,-7.693082,-3.2774057
1582926193409,-6.254407,-10.226304,-2.9712074
1582926193459,-6.9295883,-10.684931,-3.6738055
1582926193510,-5.602293,-14.053408,-1.0121236
1582926193560,-2.8415756,-8.655163,-0.6452996
1582926193610,-2.9000878,-7.0565076,-0.7263341
1582926193660,-5.669712,-8.46958,-0.049614273
1582926193709,-6.1010203,-6.4167666,-0.34093195
1582926193759,-5.0553064,-5.9731474,-0.30452436
1582926193809,-4.8824396,-6.670007,-1.297997
1582926193860,-4.75072,-5.9886723,-2.1953864
1582926193910,-4.8338003,-5.51186,-2.2795722
1582926193960,-5.5600004,-7.1640368,-1.8454497
1582926194010,-6.6329155,-9.64128,-1.6821743
1582926194060,-7.764638,-12.125687,-1.6788727
1582926194110,-6.1020765,-14.121001,0.49255612
1582926194159,-3.7789927,-8.563258,1.1191156
1582926194210,-3.9974885,-7.1317544,-0.8715116
1582926194259,-4.0989923,-7.7444468,-2.004888
1582926194309,-3.5358922,-6.870008,-2.5102375
1582926194359,-3.5497885,-6.4743304,-2.8077192
1582926194410,-4.433362,-6.7172236,-2.459152
1582926194460,-4.5853662,-5.9913783,-2.4972491
1582926194510,-4.439539,-6.733697,-2.6531596
1582926194560,-5.798231,-9.923779,-2.761358
1582926194610,-6.7135534,-9.803017,-3.895152
1582926194660,-5.352635,-13.115916,-2.0143638
1582926194710,-3.3326423,-11.660849,-0.14514312
1582926194760,-3.0434346,-7.291311,-1.0581546
1582926194810,-4.758195,-8.522697,-0.31457216
1582926194860,-5.6362195,-7.0524545,-0.58637494
1582926194910,-4.967986,-5.9468107,-0.7171325
1582926194960,-4.6662536,-6.808489,-0.8586552
1582926195010,-4.8961153,-6.7754307,-1.7817736
