Time,accX,accY,accZ
1583288613767,-6.0000987,6.271603,-13.567063
1583288613787,-1.791205,10.0780525,-18.858723
1583288613806,1.1480736,11.091349,-13.729957
1583288613827,-1.3767835,8.358084,-10.589457
1583288613847,-1.355224,6.6764426,-12.7166605
1583288613867,0.1802915,6.7435164,-12.481901
1583288613886,0.9803885,6.2835803,-11.844699
1583288613906,0.2569475,4.522888,-10.711627
Time,accX,accY,accZ
1583288605063,6.5888243,7.5113564,-2.104385
1583288605113,6.4396977,7.471039,-1.313433
1583288605162,6.457546,7.445247,-0.7685747
1583288605212,6.6555033,7.417907,-0.14840448
1583288605262,6.685537,7.3676233,0.3682408
1583288605313,6.6499577,7.234058,0.98674035
1583288605362,6.675335,7.2930856,1.5808429
1583288605412,6.8863487,7.504055,1.9736533
1583288605462,6.7707515,7.4009585,2.3967466
1583288605513,6.684209,7.3097315,2.7214928
1583288605562,6.582885,7.1975765,2.7392387
1583288605612,6.4065585,7.2564654,2.753852
1583288605663,6.366089,7.4557714,2.8167346
1583288605713,6.288409,7.5327554,3.372256
1583288605763,6.1792865,7.438242,4.1581297
1583288605812,6.2168293,6.919265,4.5920286
1583288605863,6.282184,6.658093,4.7437944
1583288605912,6.2473435,6.4805737,5.021642
1583288605962,6.1498528,6.4420185,5.0473456
1583288606012,6.183281,6.5734754,4.953524
1583288606063,6.172527,6.312412,4.8977804
1583288606112,6.119928,6.12863,4.9950523
1583288606163,5.98132,6.049063,5.8010917
1583288606213,6.026133,5.5877275,6.221112
1583288606262,5.801333,5.0842514,6.8200774
1583288606312,6.070776,4.8164167,6.6918836
1583288606362,5.866239,4.5863347,6.89264
1583288606412,5.7189527,4.933953,6.7998824
1583288606463,5.5294404,5.493061,6.476675
1583288606512,5.4213605,5.431258,6.1956787
1583288606563,4.9176545,5.4235454,6.3423195
1583288606613,5.177538,6.5703597,6.3987627
1583288606662,5.4989667,6.082773,6.3631005
1583288606712,5.1453037,5.854417,6.5643663
1583288606762,5.0501475,6.0226183,6.7787333
1583288606812,5.033756,5.659597,6.7927914
1583288606862,4.987918,5.525786,6.6151814
1583288606913,4.7336435,6.142863,6.6996136
1583288606962,4.5064883,6.3828745,6.683901
1583288607012,4.1285534,6.157473,6.954597
1583288607062,4.6178546,6.3272896,6.592053
1583288607113,4.942204,7.017047,6.2667356
1583288607162,4.2664533,6.7755218,6.7720904
1583288607213,3.1760013,6.1141443,7.39864
1583288607263,3.2097998,5.849224,7.4763823
1583288607312,2.9716563,5.6963367,7.6695466
1583288607362,2.9999826,5.6131783,7.8276443
1583288607413,3.209706,5.679076,7.8296194
1583288607463,3.1069999,5.3988576,8.048311
1583288607513,2.975459,5.732964,7.9963574
1583288607563,3.7718647,5.0608473,7.6733365
1583288607612,3.7491553,5.3584175,7.8657436
1583288607662,3.0074582,4.945059,8.722751
1583288607712,2.9740858,4.634705,8.789962
1583288607762,2.5422764,5.0491962,8.851896
1583288607813,2.3625422,4.632787,8.717614
1583288607863,2.1822445,3.403505,8.402068
1583288607912,1.8897762,3.9208345,7.951124
1583288607963,1.6780992,3.4201484,8.009416
1583288608012,1.7842147,2.4187455,8.911176
1583288608063,0.9823477,3.1163533,9.198911
1583288608113,1.0175604,3.8819268,9.567124
1583288608162,1.4685271,4.274073,9.619384
1583288608213,2.9742353,5.1003923,9.763524
1583288608263,4.0635147,2.6189334,8.929561
1583288608312,2.3408897,1.7397919,7.6016464
1583288608363,2.721055,-1.8178616,9.170414
1583288608413,2.0962987,-0.62802947,10.078324
1583288608463,3.0302832,-0.34693423,10.6322565
1583288608513,7.0752473,-1.665889,8.092532
1583288608562,4.5306544,-1.0374228,9.445927
1583288608612,2.4443173,1.291501,13.123365
1583288608663,4.26813,1.4475324,5.274262
1583288608712,6.677695,-0.757443,5.4821787
1583288608763,6.202971,-0.78224784,7.427405
1583288608813,8.232782,6.37446,10.632992
1583288608863,6.89466,6.295786,5.20959
1583288608912,7.9407635,4.1769953,0.7758399
1583288608963,7.5050154,3.648081,2.3259766
1583288609013,7.8889737,4.300768,4.1304
1583288609063,9.094073,3.5121088,2.4062793
1583288609112,8.589912,3.8853288,2.2439046
1583288609163,8.2382965,5.1613903,4.370146
1583288609212,8.05366,5.8322616,6.424064
1583288609262,7.0168295,4.724229,6.876873
1583288609313,3.1699762,6.2391477,5.0910044
1583288609362,2.7843037,6.9472094,6.493279
1583288609413,2.8238237,6.242795,9.244144
1583288609463,1.3334473,3.0396516,11.737758
1583288609513,0.6368791,1.987773,12.663658
1583288609563,1.4570725,0.8803575,11.53392
1583288609612,2.6032796,-4.377984,9.34642
1583288609663,0.5781553,-7.977772,1.4232751
1583288609713,2.6319604,-10.648623,3.7303104
1583288609763,-0.37358356,-8.664095,1.0469117
1583288609812,1.3398198,-6.3546643,-3.9990342
1583288609862,2.6279635,-4.034695,-3.9102294
1583288609913,1.7837245,-4.4303865,-4.505213
1583288609962,0.76468724,-9.234172,-3.8573117
1583288610013,0.8589912,-11.979082,-2.471149
1583288610063,2.026933,-9.866709,-0.32139945
1583288610113,3.5911565,-13.570361,3.958601
1583288610163,0.3173129,-11.978213,3.608485
1583288610212,0.073167264,-10.805759,-0.6421938
1583288610263,0.8985163,-11.092599,-0.20263195
1583288610313,0.46720695,-8.635236,-3.374454
1583288610362,0.9891719,-8.0387335,-2.4426646
1583288610412,1.1780317,-8.839647,-3.2575204
1583288610462,1.3942273,-10.979631,-3.3295588
1583288610512,0.99583113,-10.851683,-2.4090827
1583288610562,1.2529352,-9.227651,-1.2877734
1583288610612,1.4246521,-9.6005335,-0.69303143
1583288610663,0.94051695,-9.299377,-0.49471122
1583288610713,0.93110466,-8.227996,-0.41310114
1583288610762,0.9353011,-7.691021,-0.016898401
1583288610812,1.0781894,-8.436345,-1.0482032
1583288610863,0.9835807,-10.37738,-1.4783256
1583288610912,1.3826847,-11.083185,-1.0538652
1583288610963,1.6914458,-8.134004,-1.840091
1583288611012,0.9559406,-8.678709,-1.8115718
1583288611063,1.2644231,-11.662241,-0.94008636
1583288611112,1.7244384,-9.052609,-2.113002
1583288611163,1.3284166,-6.8422084,-0.9211609
1583288611213,1.1986068,-7.38822,-0.55534923
1583288611262,0.9713403,-9.085536,-0.81511784
1583288611313,0.9550812,-11.160096,-0.118248105
1583288611362,0.6791447,-10.42997,-1.2951118
1583288611413,0.5768129,-10.760633,-1.9430965
1583288611462,-0.05488974,-10.426377,-2.1061842
1583288611512,-0.2940286,-9.280883,-2.2957015
1583288611562,0.18497476,-9.62573,-1.3399991
1583288611612,0.51026917,-8.975082,-0.29157838
1583288611663,0.55507356,-9.539193,-2.0259943
1583288611712,0.6126515,-9.932956,-1.9843261
1583288611762,0.5183992,-8.31352,0.54157233
1583288611812,0.24961194,-8.113034,1.3047552
1583288611862,1.0695509,-7.292649,4.427443
1583288611912,6.5186343,-8.330246,9.89263
1583288611962,8.873756,-3.3533633,8.535005
1583288612013,6.628058,-1.3908072,8.805628
1583288612062,6.367664,-0.7486559,7.9398003
1583288612113,9.16658,0.06273255,4.09948
1583288612162,9.6918955,0.17470872,1.9682412
1583288612213,9.907562,0.24504213,2.1633062
1583288612262,9.531007,-0.36213937,3.6280642
1583288612313,9.383779,-0.6528274,3.8739805
1583288612363,9.353979,-1.2649549,3.647232
1583288612413,9.300053,-1.4285011,3.6171486
1583288612462,9.365081,-1.1707063,3.573559
1583288612513,8.031097,-1.5273348,3.144951
1583288612563,7.9409995,0.20543566,6.132288
1583288612612,8.4955635,0.9686514,7.758414
1583288612662,8.434624,0.3014921,6.036589
1583288612712,8.761863,-1.2954643,4.767027
1583288612763,8.824451,0.7111633,4.1001353
1583288612813,8.950532,-0.1987423,4.712525
1583288612862,8.85869,-0.08656591,4.988616
1583288613070,13.487294,-2.9894,4.9956665
1583288613089,13.904111,-3.784706,5.5226765
1583288613109,13.4657345,-6.664097,5.304686
1583288613129,13.3603325,-5.461556,5.117837
1583288613149,12.17456,-4.4530506,5.534654
1583288613169,10.397099,-4.5776167,4.480634
1583288613189,9.383802,-7.3324413,3.6685596
1583288613209,8.408834,-8.127748,4.389605
1583288613229,7.3811646,-6.419756,3.757193
1583288613249,7.311695,-4.4817963,3.6877234
1583288613269,7.3859553,-3.870944,5.127419
1583288613288,6.5858583,-3.8302205,6.1838346
1583288613308,5.0814843,-2.9007666,4.8711004
1583288613328,2.1589744,-2.836088,1.941404
1583288613348,-0.7731175,-2.404898,-2.4735024
1583288613368,-1.3145005,-1.283804,-4.3180375
1583288613388,0.0365615,1.0230625,-4.6629896
1583288613408,1.8236045,5.054689,-3.3263004
1583288613428,3.5483644,7.157938,-0.9787105
1583288613448,3.0261455,5.869159,-0.76072
1583288613468,1.6894565,2.065105,-1.8842095
1583288613488,-1.1516064,1.9237705,-2.29384
1583288613508,-2.696704,3.1838036,-3.0819595
1583288613528,0.115613,5.136136,-7.429792
1583288613547,1.3684595,4.925332,-10.541547
1583288613567,4.65269,2.5178545,-4.4665585
1583288613588,0.9085235,0.7212295,-3.994645
1583288613607,1.064231,5.0139656,-9.092269
1583288613628,0.393491,8.176025,-6.3733764
1583288613647,-3.295579,7.756813,-5.9853053
1583288613667,-5.2047925,5.2487245,-8.958121
1583288613687,-4.100467,3.6293664,-9.52825
1583288613707,-2.8380384,5.174464,-8.644311
1583288613727,-4.244197,6.242857,-9.2887
1583288613747,-6.5462723,7.239385,-10.428958
1583288613767,-6.0000987,6.271603,-13.567063
1583288613787,-1.791205,10.0780525,-18.858723
1583288613806,1.1480736,11.091349,-13.729957
1583288613827,-1.3767835,8.358084,-10.589457
1583288613847,-1.355224,6.6764426,-12.7166605
1583288613867,0.1802915,6.7435164,-12.481901
1583288613886,0.9803885,6.2835803,-11.844699
1583288613906,0.2569475,4.522888,-10.711627
