Time,accX,accY,accZ
1583286135487,0.465356,0.07293589,9.936961
1583286135537,0.46640685,0.07263663,9.941617
1583286135587,0.46940976,0.06228328,9.945874
1583286135638,0.46788138,0.07139969,9.938232
1583286135688,0.4667886,0.06821307,9.932776
1583286135738,0.4736266,0.0709649,9.951956
1583286135787,0.4712939,0.071475565,9.939201
1583286135838,0.47029775,0.07212437,9.939979
1583286135887,0.47220695,0.07034793,9.93793
1583286135937,0.46664616,0.06136166,9.937953
1583286135987,0.47154662,0.07005723,9.930989
1583286136038,0.4559929,0.060399864,9.940198
1583286136088,0.460565,0.070125416,9.9433365
1583286136138,0.46453473,0.07022381,9.936008
1583286136187,0.47354096,0.062932685,9.940512
1583286136237,0.46521416,0.06993715,9.925889
1583286136287,0.46446124,0.07369413,9.934148
1583286136337,0.47182104,0.062553436,9.946444
1583286136387,0.46511847,0.06510003,9.939741
1583286136437,0.48124617,0.06673099,9.93466
1583286136488,0.46936503,0.060853466,9.931911
1583286136537,0.4705327,0.07081059,9.941369
1583286136588,0.4605545,0.06685001,9.954362
1583286136638,0.46556404,0.07184094,9.938208
1583286136688,0.46856695,0.07128442,9.943954
1583286136738,0.470147,0.075867355,9.943797
1583286136787,0.46811676,0.07074924,9.9427395
1583286136838,0.46111158,0.07074663,9.938129
1583286136887,0.46799803,0.073951416,9.945897
1583286136937,0.4695686,0.07081026,9.944521
1583286136988,0.4677515,0.06815876,9.946264
1583286137038,0.4719282,0.06996064,9.942374
1583286137087,0.4677515,0.071136065,9.943287
1583286137137,0.46471316,0.06661516,9.941731
1583286137187,0.4629605,0.066990025,9.935723
1583286137238,0.46569562,0.068634614,9.938941
1583286137287,0.46964556,0.062467,9.947165
1583286137338,0.4663248,0.06402142,9.948719
1583286137387,0.4651223,0.0648625,9.956046
1583286137437,0.4594447,0.069125175,9.937209
1583286137487,0.45631635,0.07433907,9.938126
1583286137537,0.460565,0.06884468,9.942374
1583286137587,0.46495315,0.07623574,9.942374
1583286137637,0.468517,0.070419,9.942781
1583286137687,0.460565,0.06348038,9.943756
1583286137738,0.46542734,0.07296637,9.942374
1583286137787,0.47220784,0.07906817,9.9401455
1583286137838,0.46670467,0.06521144,9.945119
1583286137888,0.460565,0.06917381,9.945249
1583286137938,0.4636932,0.06892079,9.94081
1583286137988,0.47621033,0.067258,9.942149
1583286138038,0.47101143,0.06802353,9.948412
1583286138088,0.4609817,0.069080785,9.944353
1583286138138,0.4533823,0.06964968,9.947165
1583286138188,0.46199864,0.072049,9.942759
1583286138238,0.45858634,0.071943365,9.939562
1583286138287,0.460565,0.0600715,9.938606
1583286138338,0.46382713,0.06659576,9.939979
1583286138387,0.465356,0.06517883,9.951165
1583286138437,0.46490687,0.08133182,9.9389305
1583286138487,0.4629605,0.0696535,9.939487
1583286138537,0.46628833,0.07298132,9.931128
1583286138588,0.4609376,0.06990189,9.941753
1583286138637,0.4605445,0.07686052,9.943804
1583286138687,0.4597078,0.07769719,9.935616
1583286138738,0.468449,0.060466006,9.942282
1583286138787,0.4677515,0.07381378,9.931026
1583286138837,0.46538806,0.06678531,9.941901
1583286138887,0.46008846,0.0648625,9.934586
1583286138938,0.47378606,0.06654851,9.939803
1583286138988,0.46357304,0.078725055,9.953943
1583286139038,0.46737725,0.07545512,9.945406
1583286139088,0.4727126,0.07255926,9.951183
1583286139137,0.46154648,0.070022814,9.941329
1583286139187,0.4581695,0.07437651,9.9446335
1583286139237,0.4581695,0.06857755,9.946871
1583286139287,0.46160725,0.06715434,9.939875
1583286139338,0.46360365,0.0696535,9.944127
1583286139388,0.46532026,0.06729374,9.93769
1583286139438,0.46364102,0.07512502,9.939407
1583286139487,0.46406478,0.07201161,9.945836
1583286139538,0.4665741,0.0744445,9.950778
1583286139588,0.4605683,0.069656804,9.944773
1583286139637,0.46298614,0.07383922,9.937583
1583286139688,0.47378093,0.067203745,9.936372
1583286139737,0.47187737,0.06610442,9.938825
1583286139788,0.4582613,0.074322075,9.94695
1583286139838,0.46597034,0.067319885,9.934082
1583286139887,0.4677515,0.0744445,9.94477
1583286139938,0.46423042,0.07268396,9.941249
1583286139987,0.47006434,0.06494517,9.939979
1583286140038,0.46593583,0.06791399,9.946661
1583286140088,0.4641898,0.061279763,9.931647
1583286140137,0.45338646,0.069044665,9.932784
1583286140188,0.45577872,0.0696488,9.94235
1583286140238,0.4557211,0.06970639,9.934681
1583286140288,0.45590445,0.078059494,9.945946
1583286140337,0.4629605,0.071927935,9.941116
1583286140388,0.4605262,0.06238942,9.956553
1583286140437,0.45946187,0.06090693,9.942831
1583286140488,0.455439,0.072160676,9.941344
1583286140537,0.4560314,0.07630548,9.941048
1583286140587,0.4723292,0.0671869,9.945054
1583286140637,0.465356,0.0648625,9.9529915
1583286140687,0.46664184,0.06872002,9.948275
1583286140737,0.46017852,0.072049,9.941485
1583286140787,0.4636959,0.07913045,9.942479
1583286140837,0.4773627,0.073684946,9.941615
1583286140888,0.46476662,0.07192353,9.941408
1583286140938,0.46489015,0.06579421,9.949095
1583286140988,0.4681257,0.06853095,9.951358
1583286141037,0.46916696,0.06932725,9.9381275
1583286141088,0.46457663,0.07606064,9.937612
1583286141137,0.46515533,0.06786001,9.941772
1583286141187,0.46571788,0.062060274,9.936814
1583286141237,0.4598305,0.064128004,9.948826
1583286141288,0.46859905,0.06641045,9.943001
1583286141337,0.45900238,0.06709142,9.928668
1583286141388,0.46428296,0.0694621,9.943888
1583286141437,0.46805218,0.071903594,9.937883
1583286141488,0.46039465,0.06577456,9.933534
1583286141538,0.45364714,0.064996816,9.935053
1583286141588,0.4595887,0.063886225,9.940925
1583286141637,0.46751696,0.06857303,9.941528
1583286141687,0.46677125,0.07063374,9.949398
1583286141738,0.465356,0.07434427,9.956647
1583286141788,0.45918307,0.06638284,9.934819
1583286141837,0.46627337,0.07094472,9.943479
1583286141887,0.470147,0.071355306,9.943068
1583286141937,0.470147,0.06513198,9.933151
1583286141988,0.4573361,0.073403105,9.935187
1583286142038,0.46521384,0.07190683,9.936314
1583286142087,0.46601743,0.06924232,9.9410515
1583286142137,0.46769747,0.06257509,9.942374
1583286142188,0.46277842,0.06910015,9.93869
1583286142237,0.46898624,0.0649365,9.942374
1583286142287,0.4677515,0.062467,9.938838
1583286142337,0.47249895,0.07196193,9.939957
1583286142388,0.46780455,0.068429224,9.93391
1583286142437,0.46414676,0.06966115,9.943576
1583286142487,0.4623489,0.07085972,9.927967
1583286142538,0.460565,0.07681539,9.923346
1583286142588,0.46180442,0.072049,9.94956
1583286142638,0.465356,0.06959668,9.948334
1583286142687,0.465356,0.06909207,9.939829
1583286142737,0.46756592,0.07435171,9.944817
1583286142787,0.46143597,0.07096009,9.947165
1583286142838,0.47392508,0.070666425,9.944646
1583286142888,0.46195146,0.067258,9.942374
1583286142937,0.4535208,0.07852403,9.937867
1583286142988,0.46435583,0.07304919,9.940979
1583286143037,0.470147,0.0661855,9.93197
1583286143088,0.4634274,0.0631826,9.938081
1583286143137,0.4582777,0.07847807,9.940086
1583286143187,0.4648572,0.06875444,9.941475
1583286143238,0.45964622,0.07113022,9.94606
1583286143288,0.4643348,0.06383369,9.94477
1583286143338,0.4631124,0.069425665,9.947088
1583286143388,0.4690841,0.062197313,9.932522
1583286143437,0.46421716,0.07307005,9.93884
1583286143488,0.4559755,0.07160126,9.939329
1583286143538,0.46985403,0.07200714,9.951747
1583286143587,0.46788484,0.06922129,9.935187
1583286143638,0.46290907,0.06475967,9.934015
1583286143687,0.4706915,0.073210515,9.936349
1583286143738,0.4749284,0.0696727,9.932811
1583286143788,0.4707491,0.0726468,9.93339
1583286143837,0.4629456,0.072034106,9.940008
1583286143887,0.46248698,0.067731515,9.939004
1583286143938,0.46072584,0.071727335,9.960091
1583286143988,0.46219286,0.067258,9.936908
1583286144037,0.45781532,0.06863285,9.930396
1583286144088,0.44784188,0.06568745,9.932379
1583286144137,0.45415086,0.06706491,9.947357
1583286144187,0.463761,0.06566299,9.946359
1583286144238,0.465356,0.06866589,9.941386
1583286144287,0.465356,0.0696535,9.942374
1583286144338,0.46079218,0.066803634,9.940887
1583286144387,0.4629605,0.06330158,9.9520645
1583286144438,0.46151853,0.0648625,9.948095
1583286144488,0.4585156,0.068961255,9.944424
1583286144538,0.46082628,0.06590759,9.943986
1583286144588,0.4629605,0.07184049,9.939319
1583286144637,0.4629605,0.06873224,9.937951
1583286144687,0.4775319,0.06549023,9.941433
1583286144738,0.45034868,0.070534095,9.944182
1583286144787,0.4629605,0.07503814,9.94178
1583286144838,0.4689938,0.072049,9.941753
1583286144887,0.4665989,0.072049,9.939979
1583286144938,0.46584538,0.06709487,9.937257
1583286144987,0.47023267,0.0648625,9.935872
1583286145037,0.465356,0.06761469,9.947878
1583286145088,0.45543855,0.061719537,9.949972
1583286145138,0.46555138,0.068871945,9.939783
1583286145188,0.47015986,0.061677072,9.938386
1583286145237,0.47070745,0.06768287,9.94844
1583286145287,0.4697691,0.07368866,9.948298
1583286145338,0.47116983,0.059048664,9.9433975
Time,accX,accY,accZ
1583286135387,0.46783295,0.07282035,9.947083
1583286135438,0.46345237,0.072049,9.942538
1583286135487,0.465356,0.07293589,9.936961
1583286135537,0.46640685,0.07263663,9.941617
1583286135587,0.46940976,0.06228328,9.945874
1583286135638,0.46788138,0.07139969,9.938232
1583286135688,0.4667886,0.06821307,9.932776
1583286135738,0.4736266,0.0709649,9.951956
1583286135787,0.4712939,0.071475565,9.939201
1583286135838,0.47029775,0.07212437,9.939979
1583286135887,0.47220695,0.07034793,9.93793
1583286135937,0.46664616,0.06136166,9.937953
1583286135987,0.47154662,0.07005723,9.930989
1583286136038,0.4559929,0.060399864,9.940198
1583286136088,0.460565,0.070125416,9.9433365
1583286136138,0.46453473,0.07022381,9.936008
1583286136187,0.47354096,0.062932685,9.940512
1583286136237,0.46521416,0.06993715,9.925889
1583286136287,0.46446124,0.07369413,9.934148
1583286136337,0.47182104,0.062553436,9.946444
1583286136387,0.46511847,0.06510003,9.939741
1583286136437,0.48124617,0.06673099,9.93466
1583286136488,0.46936503,0.060853466,9.931911
1583286136537,0.4705327,0.07081059,9.941369
1583286136588,0.4605545,0.06685001,9.954362
1583286136638,0.46556404,0.07184094,9.938208
1583286136688,0.46856695,0.07128442,9.943954
1583286136738,0.470147,0.075867355,9.943797
1583286136787,0.46811676,0.07074924,9.9427395
1583286136838,0.46111158,0.07074663,9.938129
1583286136887,0.46799803,0.073951416,9.945897
1583286136937,0.4695686,0.07081026,9.944521
1583286136988,0.4677515,0.06815876,9.946264
1583286137038,0.4719282,0.06996064,9.942374
1583286137087,0.4677515,0.071136065,9.943287
1583286137137,0.46471316,0.06661516,9.941731
1583286137187,0.4629605,0.066990025,9.935723
1583286137238,0.46569562,0.068634614,9.938941
1583286137287,0.46964556,0.062467,9.947165
1583286137338,0.4663248,0.06402142,9.948719
1583286137387,0.4651223,0.0648625,9.956046
1583286137437,0.4594447,0.069125175,9.937209
1583286137487,0.45631635,0.07433907,9.938126
1583286137537,0.460565,0.06884468,9.942374
1583286137587,0.46495315,0.07623574,9.942374
1583286137637,0.468517,0.070419,9.942781
1583286137687,0.460565,0.06348038,9.943756
1583286137738,0.46542734,0.07296637,9.942374
1583286137787,0.47220784,0.07906817,9.9401455
1583286137838,0.46670467,0.06521144,9.945119
1583286137888,0.460565,0.06917381,9.945249
1583286137938,0.4636932,0.06892079,9.94081
1583286137988,0.47621033,0.067258,9.942149
1583286138038,0.47101143,0.06802353,9.948412
1583286138088,0.4609817,0.069080785,9.944353
1583286138138,0.4533823,0.06964968,9.947165
1583286138188,0.46199864,0.072049,9.942759
1583286138238,0.45858634,0.071943365,9.939562
1583286138287,0.460565,0.0600715,9.938606
1583286138338,0.46382713,0.06659576,9.939979
1583286138387,0.465356,0.06517883,9.951165
1583286138437,0.46490687,0.08133182,9.9389305
1583286138487,0.4629605,0.0696535,9.939487
1583286138537,0.46628833,0.07298132,9.931128
1583286138588,0.4609376,0.06990189,9.941753
1583286138637,0.4605445,0.07686052,9.943804
1583286138687,0.4597078,0.07769719,9.935616
1583286138738,0.468449,0.060466006,9.942282
1583286138787,0.4677515,0.07381378,9.931026
1583286138837,0.46538806,0.06678531,9.941901
1583286138887,0.46008846,0.0648625,9.934586
1583286138938,0.47378606,0.06654851,9.939803
1583286138988,0.46357304,0.078725055,9.953943
1583286139038,0.46737725,0.07545512,9.945406
1583286139088,0.4727126,0.07255926,9.951183
1583286139137,0.46154648,0.070022814,9.941329
1583286139187,0.4581695,0.07437651,9.9446335
1583286139237,0.4581695,0.06857755,9.946871
1583286139287,0.46160725,0.06715434,9.939875
1583286139338,0.46360365,0.0696535,9.944127
1583286139388,0.46532026,0.06729374,9.93769
1583286139438,0.46364102,0.07512502,9.939407
1583286139487,0.46406478,0.07201161,9.945836
1583286139538,0.4665741,0.0744445,9.950778
1583286139588,0.4605683,0.069656804,9.944773
1583286139637,0.46298614,0.07383922,9.937583
1583286139688,0.47378093,0.067203745,9.936372
1583286139737,0.47187737,0.06610442,9.938825
1583286139788,0.4582613,0.074322075,9.94695
1583286139838,0.46597034,0.067319885,9.934082
1583286139887,0.4677515,0.0744445,9.94477
1583286139938,0.46423042,0.07268396,9.941249
1583286139987,0.47006434,0.06494517,9.939979
1583286140038,0.46593583,0.06791399,9.946661
1583286140088,0.4641898,0.061279763,9.931647
1583286140137,0.45338646,0.069044665,9.932784
1583286140188,0.45577872,0.0696488,9.94235
1583286140238,0.4557211,0.06970639,9.934681
1583286140288,0.45590445,0.078059494,9.945946
1583286140337,0.4629605,0.071927935,9.941116
1583286140388,0.4605262,0.06238942,9.956553
1583286140437,0.45946187,0.06090693,9.942831
1583286140488,0.455439,0.072160676,9.941344
1583286140537,0.4560314,0.07630548,9.941048
1583286140587,0.4723292,0.0671869,9.945054
1583286140637,0.465356,0.0648625,9.9529915
1583286140687,0.46664184,0.06872002,9.948275
1583286140737,0.46017852,0.072049,9.941485
1583286140787,0.4636959,0.07913045,9.942479
1583286140837,0.4773627,0.073684946,9.941615
1583286140888,0.46476662,0.07192353,9.941408
1583286140938,0.46489015,0.06579421,9.949095
1583286140988,0.4681257,0.06853095,9.951358
1583286141037,0.46916696,0.06932725,9.9381275
1583286141088,0.46457663,0.07606064,9.937612
1583286141137,0.46515533,0.06786001,9.941772
1583286141187,0.46571788,0.062060274,9.936814
1583286141237,0.4598305,0.064128004,9.948826
1583286141288,0.46859905,0.06641045,9.943001
1583286141337,0.45900238,0.06709142,9.928668
1583286141388,0.46428296,0.0694621,9.943888
1583286141437,0.46805218,0.071903594,9.937883
1583286141488,0.46039465,0.06577456,9.933534
1583286141538,0.45364714,0.064996816,9.935053
1583286141588,0.4595887,0.063886225,9.940925
1583286141637,0.46751696,0.06857303,9.941528
1583286141687,0.46677125,0.07063374,9.949398
1583286141738,0.465356,0.07434427,9.956647
1583286141788,0.45918307,0.06638284,9.934819
1583286141837,0.46627337,0.07094472,9.943479
1583286141887,0.470147,0.071355306,9.943068
1583286141937,0.470147,0.06513198,9.933151
1583286141988,0.4573361,0.073403105,9.935187
1583286142038,0.46521384,0.07190683,9.936314
1583286142087,0.46601743,0.06924232,9.9410515
1583286142137,0.46769747,0.06257509,9.942374
1583286142188,0.46277842,0.06910015,9.93869
1583286142237,0.46898624,0.0649365,9.942374
1583286142287,0.4677515,0.062467,9.938838
1583286142337,0.47249895,0.07196193,9.939957
1583286142388,0.46780455,0.068429224,9.93391
1583286142437,0.46414676,0.06966115,9.943576
1583286142487,0.4623489,0.07085972,9.927967
1583286142538,0.460565,0.07681539,9.923346
1583286142588,0.46180442,0.072049,9.94956
1583286142638,0.465356,0.06959668,9.948334
1583286142687,0.465356,0.06909207,9.939829
1583286142737,0.46756592,0.07435171,9.944817
1583286142787,0.46143597,0.07096009,9.947165
1583286142838,0.47392508,0.070666425,9.944646
1583286142888,0.46195146,0.067258,9.942374
1583286142937,0.4535208,0.07852403,9.937867
1583286142988,0.46435583,0.07304919,9.940979
1583286143037,0.470147,0.0661855,9.93197
1583286143088,0.4634274,0.0631826,9.938081
1583286143137,0.4582777,0.07847807,9.940086
1583286143187,0.4648572,0.06875444,9.941475
1583286143238,0.45964622,0.07113022,9.94606
1583286143288,0.4643348,0.06383369,9.94477
1583286143338,0.4631124,0.069425665,9.947088
1583286143388,0.4690841,0.062197313,9.932522
1583286143437,0.46421716,0.07307005,9.93884
1583286143488,0.4559755,0.07160126,9.939329
1583286143538,0.46985403,0.07200714,9.951747
1583286143587,0.46788484,0.06922129,9.935187
1583286143638,0.46290907,0.06475967,9.934015
1583286143687,0.4706915,0.073210515,9.936349
1583286143738,0.4749284,0.0696727,9.932811
1583286143788,0.4707491,0.0726468,9.93339
1583286143837,0.4629456,0.072034106,9.940008
1583286143887,0.46248698,0.067731515,9.939004
1583286143938,0.46072584,0.071727335,9.960091
1583286143988,0.46219286,0.067258,9.936908
1583286144037,0.45781532,0.06863285,9.930396
1583286144088,0.44784188,0.06568745,9.932379
1583286144137,0.45415086,0.06706491,9.947357
1583286144187,0.463761,0.06566299,9.946359
1583286144238,0.465356,0.06866589,9.941386
1583286144287,0.465356,0.0696535,9.942374
1583286144338,0.46079218,0.066803634,9.940887
1583286144387,0.4629605,0.06330158,9.9520645
1583286144438,0.46151853,0.0648625,9.948095
1583286144488,0.4585156,0.068961255,9.944424
1583286144538,0.46082628,0.06590759,9.943986
1583286144588,0.4629605,0.07184049,9.939319
1583286144637,0.4629605,0.06873224,9.937951
1583286144687,0.4775319,0.06549023,9.941433
1583286144738,0.45034868,0.070534095,9.944182
1583286144787,0.4629605,0.07503814,9.94178
1583286144838,0.4689938,0.072049,9.941753
1583286144887,0.4665989,0.072049,9.939979
1583286144938,0.46584538,0.06709487,9.937257
1583286144987,0.47023267,0.0648625,9.935872
1583286145037,0.465356,0.06761469,9.947878
1583286145088,0.45543855,0.061719537,9.949972
1583286145138,0.46555138,0.068871945,9.939783
1583286145188,0.47015986,0.061677072,9.938386
1583286145237,0.47070745,0.06768287,9.94844
1583286145287,0.4697691,0.07368866,9.948298
1583286145338,0.47116983,0.059048664,9.9433975
Time,accX,accY,accZ
1583286135387,0.46783295,0.07282035,9.947083
1583286135438,0.46345237,0.072049,9.942538
1583286135487,0.465356,0.07293589,9.936961
1583286135537,0.46640685,0.07263663,9.941617
1583286135587,0.46940976,0.06228328,9.945874
1583286135638,0.46788138,0.07139969,9.938232
1583286135688,0.4667886,0.06821307,9.932776
1583286135738,0.4736266,0.0709649,9.951956
1583286135787,0.4712939,0.071475565,9.939201
