Time,rotX,rotY,rotZosboxe
1583282012912,-1.2314942,-0.43296862,0.1831201
1583282012962,-0.8965915,-0.19653755,-0.017593862
1583282013012,-0.35006028,-0.15091477,-0.071227804
1583282013062,0.3460917,-0.07950175,-0.12192179
1583282013112,0.7704664,0.00574391,-0.061266545
1583282013162,0.7296185,0.027214468,-0.13405524
1583282013212,0.81169134,0.12807985,-0.11377018
1583282013262,0.819052,0.12772292,-0.13498098
1583282013312,0.52747387,0.03431785,-0.06601487
1583282013362,0.15742035,0.086149186,0.065467045
1583282013412,-0.27612478,-0.080590084,0.027668605
1583282013462,-0.90048474,-0.28131104,-0.064442575
1583282013512,-0.65485394,-0.03469933,0.21231622
1583282013561,0.49360448,0.10256708,0.1922142
1583282013612,0.089704834,-0.016353656,0.14263172
1583282013662,-0.13305314,0.07368305,0.14447498
1583282013712,-0.17450662,0.042240933,0.21304694
1583282013762,0.16616993,0.0017966945,0.21216047
1583282013812,0.7364885,-0.054119617,-0.07167155
1583282013862,0.69332165,-0.38987297,-0.050615005
1583282013912,0.3972127,-0.27230233,-0.09688837
1583282013962,0.7123055,-0.09087294,-0.18606362
1583282014012,1.4046624,0.6777017,-0.1870096
1583282014061,2.1667204,0.38529646,0.02400736
1583282014112,1.6511471,0.10802035,0.03754116
1583282014162,0.7983486,0.049115434,0.0010059127
1583282014212,0.35070723,0.09468287,-0.021911383
1583282014262,0.112396866,0.051877208,-0.004601501
1583282014312,0.16391443,0.03979152,-0.04791857
1583282014362,0.215879,0.04254679,-0.09761309
1583282014412,0.09315576,0.11184601,-0.0792619
1583282014461,0.14615132,0.116665244,-0.109700575
1583282014512,0.24160434,0.09518858,-0.07609682
1583282014561,0.22015572,0.084153175,-0.101934135
Time,rotX,rotY,rotZosboxe
1583282004612,0.34644425,-0.3046881,-0.1513373
1583282004662,-0.44006082,0.15547858,-0.0070329774
1583282004712,-0.43844575,-0.35074848,0.03066771
1583282004762,-0.13543116,-0.53785324,-0.09754476
1583282004812,-0.12845938,0.058014825,-0.27592102
1583282004862,-0.53654534,-0.03201335,-0.43010917
1583282004912,-0.54692566,-0.22676937,-0.21508218
1583282004962,-0.5880261,0.03891961,-0.2120404
1583282005012,-1.0353264,0.09738532,-0.05264697
1583282005062,-0.85032177,0.13229877,0.03418355
1583282005112,-0.17967233,0.16269027,0.07567927
1583282005162,-0.27324432,0.036561016,-0.012189265
1583282005212,-0.21090381,0.15174408,0.059476588
1583282005261,-0.27705735,-0.015241688,0.07727231
1583282005311,-0.14317852,-0.026067924,0.1270288
1583282005362,-0.16675986,-0.16691215,0.17134362
1583282005412,-0.072087094,-0.10607073,0.20517233
1583282005462,-0.08504762,-0.38422805,0.1317091
1583282005512,0.29198253,-0.32117426,0.0482516
1583282005562,0.11105716,-0.08680481,0.046953212
1583282005612,-0.19953729,-0.04922764,0.12688404
1583282005662,-0.041899536,0.09487322,0.1600084
1583282005712,0.1129234,-0.017173085,0.0074009146
1583282005762,0.3497008,0.09219086,0.06104326
1583282005812,0.24733154,-0.15706766,-0.048496533
1583282005862,-0.01038804,-0.10436763,-0.055199806
1583282005912,-0.04137254,-0.068960704,-0.060315218
1583282005962,-0.069037266,-0.16834974,-0.03998419
1583282006011,-0.09846492,-0.13377948,0.043408256
1583282006062,-0.070211865,-0.24840762,0.052904688
1583282006112,-0.027132314,-0.44506657,-0.030339533
1583282006161,0.12352596,-0.15040319,-0.09016517
1583282006212,0.022411987,-0.025103495,-0.060748767
1583282006262,-0.16820623,-0.053209327,-0.10481712
1583282006312,-0.029251581,0.067861184,0.035308827
1583282006361,0.04195264,-0.11005358,0.035337146
1583282006412,-0.5362508,0.1424995,0.093357034
1583282006462,-0.6334497,0.3983969,0.07468091
1583282006511,-0.23735857,0.29968125,-0.16305685
1583282006562,-0.022596104,0.3527966,-0.2067498
1583282006612,-0.13504045,0.19903944,-0.14426376
1583282006661,-0.31172603,-0.07053845,0.059331935
1583282006711,0.119230404,-0.42706394,0.0415819
1583282006762,0.43307948,-0.5923612,-0.10914201
1583282006812,0.0038394565,-0.09490685,0.13864669
1583282006862,-0.30236042,0.1431743,0.2870911
1583282006912,-0.07711858,0.011415971,0.15921868
1583282006962,-0.024708105,0.025715768,0.11745049
1583282007012,-0.042378653,0.11037067,0.06696981
1583282007061,-0.1788388,0.14352013,0.064070046
1583282007112,-0.5268074,0.117052674,-0.046068158
1583282007162,-0.5846393,0.09587048,-0.0014238223
1583282007212,-0.53897446,0.12599841,-0.033460267
1583282007262,-0.7313606,0.26521397,0.0066120164
1583282007312,-0.6191686,0.39908874,-0.14267868
1583282007362,-0.08683887,0.123298496,-0.1356202
1583282007412,0.32267192,0.2910418,-0.21699843
1583282007462,-0.6404311,0.28159416,-0.20011216
1583282007511,0.35411268,-0.09506641,-0.09377624
1583282007562,0.4049264,-0.20518397,-0.09955759
1583282007612,0.119894706,-0.19562249,-0.10950017
1583282007662,0.28095037,-0.2847227,-0.1790869
1583282007712,0.19640963,-0.20088784,-0.35987297
1583282007762,0.122159995,-0.13648859,-0.40454674
1583282007812,0.080841154,-0.12865825,-0.5749306
1583282007862,-0.1512606,-0.056984313,-0.8100876
1583282007912,-1.3199364,-0.23606439,-0.2255698
1583282007962,-0.28811356,-0.45436305,-0.19807787
1583282008011,-1.1124517,-0.38572776,0.24135667
1583282008062,-0.63606524,-0.035033442,0.004061783
1583282008112,-0.7592626,0.21379912,-0.09700324
1583282008162,-0.44643325,0.14700626,0.18058383
1583282008212,0.2949947,-0.12712666,0.44895887
1583282008262,-0.92760426,-0.022142678,0.018525714
1583282008312,-0.5493331,0.09363276,0.13935335
1583282008362,-0.6756936,0.1120902,0.13788953
1583282008412,-0.256243,0.10877538,0.10330121
1583282008462,-0.08832281,0.27335995,0.057238016
1583282008512,-0.15898585,0.120867535,0.11403263
1583282008561,-0.012666511,0.07849757,0.057276998
1583282008612,-0.35211408,0.29187983,0.26382637
1583282008661,-0.53698957,0.23984566,0.15450343
1583282008712,-0.6736538,0.21944413,0.12689054
1583282008761,-0.9736038,-6.0386024E-4,-0.021595841
1583282008812,-0.1783577,0.035628557,-0.100151636
1583282008862,0.41638482,-0.22544707,-0.241333
1583282008912,0.42061114,-0.16826065,-0.369515
1583282008961,0.19949941,-0.0648185,-0.05600815
1583282009011,-0.52937144,-0.094263,0.07980564
1583282009062,-0.9420158,0.3767298,0.25868624
1583282009112,-2.052905,1.3417764,0.6693565
1583282009162,-3.9437194,1.1626455,0.07686332
1583282009212,-1.191703,0.39859366,-0.3990555
1583282009261,-1.2605894,0.32511342,-0.3569597
1583282009312,-0.83057195,0.13042851,-0.019998206
1583282009362,-0.60496813,0.19501866,-0.019274542
1583282009412,-0.84725994,0.18929511,-0.56128955
1583282009462,-1.2651753,0.5788975,-0.6099575
1583282009511,-0.5363641,0.5552485,-0.3147177
1583282009562,0.015167748,0.88562316,-1.8614961
1583282009612,-2.2139852,-0.03388661,-0.7979867
1583282009662,-0.59652984,-0.4929899,0.5347225
1583282009712,1.3440989,-0.19048141,0.5007792
1583282009761,-0.91193134,-1.4322436,0.05230618
1583282009812,-4.412706,-0.54082066,0.35366184
1583282009862,-10.504495,1.3447016,-1.2922494
1583282009912,-24.508905,4.0982037,-2.4619124
1583282009961,-18.838865,2.288862,-2.4264386
1583282010011,-5.6798587,-4.2393985,-1.8677224
1583282010062,-19.846643,-6.8374076,2.795429
1583282010111,1.1745212,-3.0601668,3.75754
1583282010162,2.5138354,3.38997,-0.7971299
1583282010212,0.93114895,-0.22804733,-0.34211656
1583282010262,0.70556563,-2.0443814,-0.12294505
1583282010312,1.2741354,-0.12172057,-0.65689737
1583282010362,0.6278836,0.25804454,-0.18175125
1583282010412,1.6218866,1.5110377,-0.4066414
1583282010461,3.354185,1.843883,-1.906756
1583282010512,4.0445843,0.5841889,-3.5853057
1583282010562,4.779279,-2.2917411,-5.306922
1583282010612,3.574329,-1.8114744,-4.1455507
1583282010662,4.1822367,-0.026944056,-2.1894915
1583282010711,6.094191,0.39848572,-2.362529
1583282010762,5.024595,1.1330526,0.6684321
1583282010812,3.6628804,3.923045,2.9950082
1583282010861,8.714091,6.5855646,5.2360325
1583282010911,12.18603,6.5242596,2.3035142
1583282010962,5.264232,-1.1498586,0.71004206
1583282011012,-0.942162,-0.028402492,0.6652682
1583282011062,-3.8577118,-5.430744,0.5926843
1583282011112,-2.5574327,-3.1186383,-0.45838496
1583282011162,-0.31971037,0.36826122,0.4066918
1583282011212,4.830243,1.5045183,0.47607833
1583282011262,3.0996494,-0.34955382,1.3131217
1583282011311,-2.3602037,-0.8906688,5.97355
1583282011362,-11.992442,2.1521442,6.9456344
1583282011412,-0.28160948,1.0469689,-5.0284863
1583282011462,4.3213716,-0.58811647,-3.3895633
1583282011511,1.6252937,0.7743195,0.1369948
1583282011562,2.3104503,0.25260144,-0.44302282
1583282011611,0.12733991,-0.25746822,-0.29306725
1583282011661,-1.3342816,0.01773183,-1.4210659
1583282011712,-0.96249795,-1.7458217,-0.14358506
1583282011762,0.35705715,1.420055,-0.35015434
1583282011811,-0.70251656,-0.29434,0.21351478
1583282011861,-0.21003841,-0.35326183,0.08153346
1583282011912,-1.1266475,1.6663938,-0.7438352
1583282011962,0.47250763,-0.5883423,-0.08897518
1583282012012,1.2502267,-0.12562014,-0.3816288
1583282012062,0.80594546,0.28141582,-0.23147014
1583282012111,0.2549713,-0.049431194,-0.01889854
1583282012161,-0.3446613,-0.26227945,0.020337319
1583282012212,-0.13119183,-0.10538423,-0.02659178
1583282012262,0.29792196,-0.058384903,-0.022463402
1583282012312,0.1946178,-0.12150209,-0.06257633
1583282012361,-0.16419038,-0.10740456,-0.09616938
1583282012412,-0.47931147,-0.03511017,-0.094734535
1583282012461,-0.607778,-0.01263544,-0.12038651
1583282012512,-0.47927225,0.06138342,-0.06216215
1583282012562,-0.8444248,0.028437246,-0.0887543
1583282012612,-1.1772066,-0.029288478,-0.010402454
1583282012662,-1.2150569,0.016225833,-0.020282058
1583282012712,-0.6227811,-0.014791381,-0.106817126
1583282012761,-0.39938378,0.08612643,-0.17404127
1583282012812,-0.5336421,0.091347575,-0.1811116
1583282012862,-1.6374309,-0.027789842,0.037664313
1583282012912,-1.2314942,-0.43296862,0.1831201
1583282012962,-0.8965915,-0.19653755,-0.017593862
1583282013012,-0.35006028,-0.15091477,-0.071227804
1583282013062,0.3460917,-0.07950175,-0.12192179
1583282013112,0.7704664,0.00574391,-0.061266545
1583282013162,0.7296185,0.027214468,-0.13405524
1583282013212,0.81169134,0.12807985,-0.11377018
1583282013262,0.819052,0.12772292,-0.13498098
1583282013312,0.52747387,0.03431785,-0.06601487
1583282013362,0.15742035,0.086149186,0.065467045
1583282013412,-0.27612478,-0.080590084,0.027668605
1583282013462,-0.90048474,-0.28131104,-0.064442575
1583282013512,-0.65485394,-0.03469933,0.21231622
1583282013561,0.49360448,0.10256708,0.1922142
1583282013612,0.089704834,-0.016353656,0.14263172
1583282013662,-0.13305314,0.07368305,0.14447498
1583282013712,-0.17450662,0.042240933,0.21304694
1583282013762,0.16616993,0.0017966945,0.21216047
1583282013812,0.7364885,-0.054119617,-0.07167155
1583282013862,0.69332165,-0.38987297,-0.050615005
1583282013912,0.3972127,-0.27230233,-0.09688837
1583282013962,0.7123055,-0.09087294,-0.18606362
1583282014012,1.4046624,0.6777017,-0.1870096
1583282014061,2.1667204,0.38529646,0.02400736
1583282014112,1.6511471,0.10802035,0.03754116
1583282014162,0.7983486,0.049115434,0.0010059127
1583282014212,0.35070723,0.09468287,-0.021911383
1583282014262,0.112396866,0.051877208,-0.004601501
1583282014312,0.16391443,0.03979152,-0.04791857
1583282014362,0.215879,0.04254679,-0.09761309
1583282014412,0.09315576,0.11184601,-0.0792619
1583282014461,0.14615132,0.116665244,-0.109700575
1583282014512,0.24160434,0.09518858,-0.07609682
1583282014561,0.22015572,0.084153175,-0.101934135
