Time,accX,accY,accZ
1583285162540,-3.439309,-2.745059,-8.155628
1583285162560,-3.6141806,-2.6947534,-8.275404
1583285162580,-4.0453706,-3.099593,-8.560468
1583285162600,-3.7914474,-2.582165,-8.500581
1583285162621,-3.597412,-2.586956,-7.9160786
1583285162640,-3.9112225,-3.0492876,-7.8825417
1583285162660,-4.234615,-3.2361364,-8.210725
1583285162680,-4.16275,-3.2121816,-8.170001
1583285162700,-3.9639235,-3.1211524,-7.846609
1583285162720,-3.932782,-2.8480656,-7.9735703
1583285162740,-3.918409,-2.9295125,-8.126883
1583285162760,-4.0453706,-3.1307344,-8.380806
1583285162780,-4.205869,-3.238532,-8.165211
1583285162800,-3.8489394,-2.965445,-7.9208694
1583285162820,-3.5279424,-2.79776,-7.7004833
1583285162840,-3.6956275,-2.9534676,-8.028667
1583285162859,-4.1268177,-2.864834,-7.8681684
1583285162880,-4.21066,-2.515091,-7.846609
1583285162900,-4.4909334,-2.4647856,-9.33661
1583285162920,-4.8454676,-2.476763,-9.068314
1583285162940,-4.871818,-2.4935315,-8.543699
1583285162960,-4.4861426,-2.6899624,-8.44788
1583285162980,-4.5340524,-2.7330816,-7.9975257
1583285162999,-4.287316,-2.534255,-7.3315763
1583285163019,-4.2513833,-2.7953646,-8.105323
1583285163039,-4.124422,-3.113966,-8.189165
1583285163059,-3.880081,-3.1594806,-7.9687796
1583285163079,-3.793843,-3.176249,-7.9256606
1583285163099,-3.5950165,-3.0540786,-7.75558
1583285163119,-3.5375245,-3.4373586,-7.9831524
1583285163139,-3.563875,-3.631394,-8.021481
1583285163159,-3.520756,-3.502037,-8.423924
1583285163179,-3.563875,-3.353516,-8.744922
1583285163199,-3.329116,-3.37268,-8.517349
1583285163219,-2.701495,-3.5667155,-8.170001
1583285163238,-1.872652,-3.2792554,-8.421529
1583285163258,-2.217604,-3.2457185,-8.320918
1583285163279,-2.615257,-3.7775195,-8.229889
1583285163299,-2.7709644,-3.813452,-8.292172
1583285163318,-3.2356915,-3.6912816,-8.30415
1583285163341,-3.405772,-3.9116676,-8.687429
1583285163361,-2.687122,-3.7344005,-8.471834
1583285163381,-2.505064,-3.9547865,-7.5375896
1583285163401,-2.8380384,-3.9356225,-8.016689
1583285163422,-3.056029,-3.938018,-7.942429
1583285163441,-2.859598,-3.70805,-8.04304
1583285163461,-2.9242766,-3.4325676,-8.716175
1583285163641,-3.046447,-3.2025995,-8.040645
1583285163661,-3.132685,-3.0301235,-8.275404
1583285163675,-3.2714114,-3.0841408,-8.458494
1583285163725,-3.322557,-3.0092173,-8.46749
1583285163800,-3.39753,-3.3168607,-8.059598
1583285163850,-3.4539502,-3.275558,-8.372494
1583285163900,-3.6217823,-2.6550143,-8.129122
1583285163950,-3.9626598,-2.4914007,-8.613182
1583285164000,-4.315514,-2.507835,-8.543587
1583285164050,-4.249921,-2.552195,-8.124045
1583285164100,-4.0723195,-2.5472622,-8.330986
1583285164150,-3.9974437,-2.7710838,-8.278167
1583285164200,-3.9086285,-2.8620474,-8.316053
1583285164250,-3.7032945,-3.0437922,-7.9450874
1583285164300,-3.962491,-3.1211338,-8.031738
1583285164350,-4.0106845,-3.0652652,-8.249641
1583285164400,-4.0631557,-3.1007674,-8.116886
1583285164450,-3.8193138,-3.075161,-8.0527725
1583285164500,-4.063389,-3.0755818,-8.045061
1583285164550,-3.9872646,-3.061256,-8.097742
1583285164600,-4.176447,-3.0386586,-7.832918
1583285164650,-4.4566855,-2.8979378,-8.091805
1583285164700,-4.363695,-2.5238662,-8.218211
1583285164750,-4.385168,-2.5850475,-8.140947
1583285164800,-4.3751674,-2.6139033,-8.0536375
1583285164874,-4.478956,-2.6707985,-8.035853
1583285164895,-4.3088756,-2.548628,-8.146047
1583285164914,-4.3663673,-2.529464,-8.222702
1583285164934,-4.272943,-2.663612,-7.9735703
1583285164954,-4.3807406,-2.6372614,-8.114905
1583285164974,-4.426255,-2.65403,-8.220307
1583285164994,-4.383136,-2.7474544,-8.18677
1583285165014,-4.344808,-2.773805,-8.181979
1583285165034,-4.3711586,-2.9151394,-8.093346
1583285165053,-4.2418013,-2.927117,-8.026272
1583285165074,-4.21066,-2.9822135,-7.956802
1583285165094,-4.263361,-2.994191,-7.798699
1583285165114,-4.248988,-3.018146,-7.870564
1583285165133,-4.225033,-3.2025995,-8.277799
1583285165154,-4.541239,-3.573902,-8.387992
1583285165173,-4.2897115,-3.090011,-6.9770427
1583285165193,-3.942364,-2.9726315,-6.5745983
1583285165214,-3.8728945,-3.348725,-8.031062
1583285165234,-4.3807406,-3.540365,-9.403684
1583285165254,-4.3759494,-3.3511205,-8.845532
1583285165274,-3.8824766,-2.8672295,-7.8058853
1583285165294,-3.9447596,-3.042101,-7.7100654
1583285165314,-3.9782965,-3.305606,-7.539985
1583285165334,-4.0980716,-3.391844,-7.7723484
1583285165353,-4.1555634,-3.4852686,-8.004712
1583285165373,-4.014229,-3.712841,-8.153233
1583285165393,-3.9543414,-3.669722,-7.8873324
1583285165413,-3.7387464,-3.4708955,-7.2645025
1583285165432,-3.904036,-3.415799,-7.645387
1583285165452,-3.951946,-3.4086125,-7.9927344
1583285165472,-3.8824766,-3.3511205,-8.021481
1583285165493,-4.0741167,-3.4181945,-8.172397
1583285165512,-4.134004,-3.6098344,-7.9879436
1583285165532,-4.038184,-3.497246,-7.870564
1583285165553,-3.9926696,-3.353516,-7.942429
1583285165572,-4.0022516,-3.272069,-8.074182
1583285165592,-4.06693,-3.2121816,-8.158024
1583285165612,-4.1795187,-3.348725,-8.081368
1583285165632,-3.9974606,-3.5523424,-7.822654
1583285165652,-3.836962,-3.5188055,-7.7004833
1583285165673,-3.966319,-3.367889,-7.7340207
1583285165692,-4.1363993,-3.425381,-7.9687796
1583285165712,-4.272943,-3.5092235,-8.052622
1583285165732,-4.1795187,-3.5427606,-7.774744
1583285165751,-4.076512,-3.463709,-7.817863
1583285165771,-3.9160135,-3.42059,-7.9783616
1583285165792,-3.980692,-3.439754,-7.9687796
1583285165812,-4.0118337,-3.377471,-8.035853
1583285165832,-4.110049,-3.4517314,-7.9304514
1583285165852,-4.148377,-3.5523424,-7.6477823
1583285165872,-4.124422,-3.569111,-7.832236
1583285165891,-4.3184576,-3.775124,-7.89931
1583285165911,-4.4526057,-3.9020855,-7.846609
1583285165931,-4.2849207,-3.9787414,-7.592686
1583285165952,-4.0357885,-3.5954616,-7.875355
1583285165971,-4.1316085,-3.6769085,-7.9448247
1583285165992,-3.7722836,-3.6002524,-7.396255
1583285166012,-3.9687145,-3.7008636,-7.6190367
1583285166031,-4.2609653,-3.9835324,-7.8633776
1583285166051,-4.320853,-4.1128893,-7.6190367
1583285166070,-4.239406,-4.1368446,-7.6861105
1583285166091,-4.30648,-4.2757835,-7.870564
1583285166111,-4.1747274,-4.0266514,-7.712461
1583285166131,-3.9878786,-4.153613,-7.4321876
1583285166151,-4.004647,-4.2709923,-7.290853
1583285166170,-3.932782,-4.2614107,-7.252525
1583285166190,-3.975901,-4.350044,-7.736416
1583285166210,-4.1316085,-4.52252,-7.7436023
1583285166231,-3.841753,-4.4290953,-7.271689
1583285166251,-3.8728945,-4.5776167,-7.080049
1583285166271,-3.980692,-4.7117643,-7.032139
1583285166291,-4.0741167,-4.958501,-7.405837
1583285166310,-4.0645347,-5.1812825,-7.448956
1583285166330,-3.717187,-4.958501,-7.099213
1583285166350,-3.549502,-5.087858,-6.629695
1583285166370,-3.5806434,-5.2052374,-6.438055
1583285166390,-3.5423155,-5.28908,-7.0009975
1583285166410,-3.5375245,-5.456765,-6.969856
1583285166430,-3.463264,-5.586122,-6.610531
1583285166450,-3.420145,-5.988566,-6.6464634
1583285166470,-3.506383,-6.0436625,-6.5410614
1583285166490,-3.3171384,-5.806508,-6.164968
1583285166510,-3.276415,-6.117923,-6.2296467
1583285166530,-3.2452736,-6.2592573,-6.5123153
1583285166550,-3.0727975,-5.9957523,-6.4596143
1583285166570,-3.1063344,-6.175415,-6.342235
1583285166590,-3.1734085,-6.6090007,-6.5889716
1583285166610,-2.835643,-6.4556885,-6.404518
1583285166630,-2.72545,-6.319145,-6.299116
1583285166650,-2.62963,-6.43892,-6.2344375
1583285166670,-2.6320255,-6.913229,-6.016447
1583285166690,-2.6080706,-7.0353994,-5.7936654
1583285166709,-2.557765,-7.1024737,-5.9709325
1583285166729,-2.4164305,-7.191107,-6.0475883
1583285166749,-2.145739,-6.884483,-5.9038587
