Time,rotX,rotY,rotZosboxe
1583283696587,-3.057123,-1.1331016,-7.839328
1583283696638,-5.8808146,4.453742,-4.713518
1583283696688,-5.1535234,5.4116545,-2.079918
1583283696738,-3.854801,5.625847,0.508757
1583283696787,-1.792408,5.2360764,3.3265107
1583283696837,-0.21669137,4.026801,4.739542
1583283696887,0.26020274,2.4679677,5.634082
1583283696938,-0.49089444,1.1819315,5.381622
1583283696988,-2.5102775,-1.8107347,3.1424806
1583283697037,-1.9247961,-4.2049747,0.48379508
1583283697088,-0.20290072,-4.9932075,-1.2636094
1583283697137,-0.6388224,-4.276799,-3.259689
1583283697188,-1.672256,-2.1370158,-5.102958
1583283697237,-2.9577553,0.43805656,-6.01968
1583283697287,-1.4421197,3.5004663,-4.1977787
1583283697338,1.4187537,4.745301,-2.1251545
1583283697388,1.5436475,4.709507,0.08527696
1583283697438,0.18315294,4.158956,3.1555643
1583283697488,-0.48391098,3.1041906,5.721697
1583283697538,-1.8369026,0.56650317,5.802772
1583283697588,-1.2607412,-2.8480742,4.2430964
1583283697637,-0.5807812,-4.569282,2.1997607
1583283697687,-1.4245963,-4.377393,-0.34890485
1583283697738,-1.0116293,-3.738268,-2.9045062
1583283697788,-1.7256417,-1.9709724,-5.2874093
1583283697837,-2.9382129,1.2851073,-5.546525
1583283697888,-2.1972566,3.4869814,-3.9726834
1583283697938,-1.3022535,4.010514,-1.885801
1583283697987,0.124117896,3.9813483,1.3504103
1583283698038,0.21361676,3.5361683,4.362472
1583283698087,-0.5264013,2.697529,5.5104957
1583283698138,-2.7698338,-0.544544,4.6373425
1583283698187,-3.0506427,-4.6583815,2.100537
1583283698238,-1.799455,-4.889647,0.60482204
1583283698288,-1.6286691,-4.0869203,-1.0786325
1583283698337,-1.5504932,-2.9116235,-3.568272
1583283698387,-3.18551,-0.87413025,-5.561472
1583283698437,-3.5291145,2.4285114,-4.549906
1583283698488,-2.1036513,4.184533,-2.3365903
1583283698538,-0.7617054,4.5555387,0.20702314
1583283698587,-0.08257498,4.270372,3.0290556
1583283698637,0.17301326,3.1930406,5.0635123
1583283698687,-0.60805243,1.4880306,5.7252345
1583283698738,-1.9631174,-0.93473494,4.6820908
1583283698788,-1.7420801,-3.721422,2.5527375
1583283698837,-0.8799512,-5.003414,0.8018421
1583283698887,-0.84372354,-3.9574323,-0.46064937
1583283698937,-1.2427248,-2.827508,-2.563424
1583283698988,-1.8659902,-1.6321212,-5.0862975
1583283699037,-2.5427604,0.9425802,-5.419865
1583283699087,-1.673322,3.3263507,-3.512254
1583283699138,-1.124851,4.6626425,-1.2128415
1583283699187,-0.96335125,4.6169553,1.8843491
1583283699238,0.04517632,3.588901,4.5456986
1583283699287,-0.23516278,1.9952862,5.8843575
1583283699337,-1.1524625,0.2944745,5.514829
1583283699388,-2.0314417,-2.4663033,3.5656552
1583283699437,-0.5591033,-4.4682956,1.3108628
1583283699488,-0.4250369,-3.8047695,0.0033961814
1583283699537,-1.5593727,-3.021012,-1.7684536
1583283699587,-1.4978065,-3.0779214,-4.0769506
1583283699637,-2.2977707,-1.5734926,-5.7801843
1583283699688,-2.3373156,0.8804279,-5.572251
1583283699737,-2.2505038,2.8461807,-3.6328993
1583283699788,-1.4721575,3.8174052,-1.4853413
1583283699837,-0.58032805,3.5964112,1.1966101
1583283699888,0.093915135,3.2101548,3.4396222
1583283699938,0.04736703,2.3655913,5.1160555
1583283699987,-0.45031548,0.8905052,5.4943004
1583283700037,-1.0579928,-1.2964526,4.3787513
1583283700087,-0.9400941,-2.9460492,2.9035723
1583283700138,-0.80553496,-3.4117713,1.4632162
1583283700187,-1.2407377,-3.4223063,-0.35737804
1583283700237,-1.2879246,-3.3157198,-2.4896178
1583283700288,-1.5277603,-2.4515212,-4.3315516
1583283700338,-2.1420927,-0.705214,-5.200185
1583283700388,-2.1347265,1.5160259,-4.3209734
1583283700437,-1.9415195,3.1909049,-2.4580555
1583283700487,-1.229898,4.174313,-0.46726072
1583283700538,-0.783598,4.1627274,2.0592651
1583283700588,-0.34080753,3.4085548,4.006071
1583283700638,-0.79385704,2.2607875,4.747468
1583283700688,-2.4740896,0.8139343,4.2537274
1583283700737,-3.4573476,-1.2441801,3.0356297
1583283700787,-1.7276922,-3.1133513,1.6493592
1583283700837,-0.518943,-4.061355,0.5741564
1583283700888,-0.8199094,-3.6196854,-0.3921923
1583283700938,-1.0455908,-3.2749262,-1.5495746
1583283700988,-1.0197351,-3.3877265,-2.7585304
1583283701037,-1.6001732,-3.3246756,-3.90929
1583283701087,-2.6636102,-3.084924,-5.2173443
1583283701138,-3.7476554,-2.3247356,-6.2074184
1583283701187,-2.2361064,-0.9000787,-5.964531
1583283701238,-1.7459506,0.14057152,-3.4405568
1583283701288,-1.8222746,0.7245821,-0.46376705
1583283701337,-3.3325274,0.9570824,1.4341611
1583283701387,-3.9756873,0.59629554,2.6205664
1583283701437,-1.481035,-0.43800166,3.0596728
1583283701487,1.1075839,-1.2007998,2.9739525
1583283701538,1.7850033,-1.7958567,3.0309772
1583283701587,1.6115896,-2.3088424,3.1366642
1583283701638,1.577202,-2.6205838,2.6681166
1583283701687,1.7858888,-2.7761233,1.4854776
1583283701738,2.0769281,-2.9571128,-0.17240775
1583283701787,2.2574267,-2.8231454,-1.6841303
1583283701838,1.7555182,-2.132681,-2.4118156
1583283701887,0.53266567,-1.0657164,-2.6915505
1583283701938,-0.5846074,0.724491,-2.2557445
1583283701988,-1.2877226,1.7927512,-1.4320502
1583283702037,-2.3454018,1.2937934,-0.6745237
1583283702087,-1.6768762,0.7798886,0.29249227
1583283702137,-0.5715284,0.65513295,1.0079271
1583283702187,-1.3224728,0.25362036,1.6581951
1583283702237,-0.855398,0.040484026,1.7516048
1583283702287,-0.0050725774,0.2577397,1.4222122
1583283702337,0.14816616,0.53512025,1.0099617
1583283702387,-0.51441246,0.57137793,0.49566406
1583283702437,-0.7602146,0.48776352,-0.35807243
1583283702488,-0.54579896,0.5464964,-1.5203662
1583283702537,-0.3384678,0.764425,-2.4724214
1583283702587,-0.71840274,0.6236483,-2.6265104
1583283702637,-1.1476641,0.57100123,-2.1279924
1583283702688,-1.206895,0.52761424,-1.2719426
1583283702737,-0.83596957,-0.023563866,-0.49479014
1583283702787,-1.0151026,-0.43718618,-0.0343694
1583283702838,-0.72630435,-0.60053384,0.006099878
1583283702887,0.3820866,-0.6427947,-0.20078877
1583283702937,1.2128181,-0.55146545,-0.19443321
1583283702987,1.0325263,-0.41185704,0.038529336
1583283703037,0.569403,-0.15699258,0.20252185
1583283703088,0.6928398,0.21068175,-0.02398269
1583283703138,2.093066,0.74493545,-0.49501932
1583283703188,2.9998848,0.7345864,-0.26992002
1583283703238,3.3967872,0.53298247,0.66734743
1583283703287,2.2795765,0.50649947,1.9103305
1583283703337,0.9859354,0.33303383,2.9574957
1583283703387,1.037439,0.01182539,3.4864511
1583283703437,0.74917465,-0.082307935,3.7895029
1583283703488,0.23234214,-0.19098032,3.7881465
1583283703537,-0.5078439,-0.4195622,3.325584
1583283703587,-0.75760293,-0.45476443,2.1144578
1583283703637,-0.2473438,-0.36031976,0.37880498
1583283703687,0.38382307,-0.4076021,-1.6118096
1583283703737,0.07926872,-0.5631484,-3.2073605
1583283703787,-1.1982766,-0.7737557,-4.2237005
1583283703837,-1.6830244,-0.19934943,-5.140664
1583283703888,-0.68010634,0.49327764,-4.808831
1583283703938,-0.4403938,0.6051291,-3.1190486
1583283703987,0.65734863,0.41095802,-1.9150863
1583283704037,-0.59699273,0.12683432,-0.6434542
