Time,accX,accY,accZ
1583283468688,6.6768875,-6.9001164,1.9573103
1583283468738,6.6736975,-6.896455,1.9421986
1583283468787,6.685332,-6.8790035,2.0232096
1583283468838,6.682713,-6.9122853,1.9698415
1583283468888,6.66491,-6.8954434,1.9776984
1583283468937,6.66491,-6.8892126,1.968471
1583283468987,6.6626854,-6.875754,1.9742585
1583283469037,6.6629515,-6.9367337,1.9771249
1583283469088,6.65237,-6.909049,1.9816935
1583283469138,6.6758156,-6.900343,1.965028
1583283469188,6.698209,-6.887474,1.9537388
1583283469238,6.6458282,-6.9137816,1.9695559
1583283469287,6.630895,-6.908322,1.9900309
1583283469338,6.663135,-6.9430394,1.9686421
1583283469387,6.6653194,-6.8919373,2.008825
1583283469437,6.6448655,-6.920662,1.9494711
1583283469487,6.6672225,-6.91922,1.9604851
1583283469538,6.6709914,-6.914827,1.9814519
1583283469588,6.6462784,-6.9107003,1.9797986
1583283469637,6.64928,-6.927841,1.9669762
1583283469687,6.6616697,-6.9135313,1.977135
1583283469738,6.638887,-6.904287,1.9645705
1583283469788,6.6644883,-6.953272,1.9487201
1583283469838,6.648619,-6.915241,1.9895068
1583283469888,6.6319838,-6.9223385,1.9945014
1583283469937,6.6770463,-6.8894577,1.9644693
1583283469987,6.631057,-6.939052,1.9552794
1583283470037,6.627751,-6.923325,1.9993519
1583283470087,6.636164,-6.929072,1.9942005
1583283470137,6.6496577,-6.9246264,2.0076544
1583283470187,6.626861,-6.9089727,1.9738249
1583283470238,6.6366014,-6.9399157,1.9804255
1583283470287,6.6345983,-6.9253163,1.9969075
1583283470337,6.6124163,-6.9164724,2.0128741
1583283470388,6.6314435,-6.904341,1.9916744
1583283470438,6.685058,-6.9077578,1.9777634
1583283470488,6.6339397,-6.89507,1.9938056
1583283470538,6.623797,-6.9240294,1.9857249
1583283470588,6.6970706,-6.931017,1.9855708
1583283470637,6.6323986,-6.905557,1.9997683
1583283470687,6.6333146,-6.916725,1.9861418
1583283470737,6.70794,-6.8836937,1.976609
1583283470788,6.6748567,-6.9088845,1.9973129
1583283470837,6.6239657,-6.9010305,2.0178711
1583283470887,6.654792,-6.9069505,1.9874977
1583283470938,6.6223087,-6.9046655,2.0056233
1583283470987,6.681975,-6.9312296,1.9971163
1583283471038,6.6864696,-6.8893876,1.9792184
1583283471087,6.679654,-6.899267,1.9948066
1583283471138,6.64294,-6.904627,1.9917095
1583283471188,6.671732,-6.916585,2.0066297
1583283471238,6.6759996,-6.880385,2.0061555
1583283471287,6.697853,-6.8942566,1.9623301
1583283471337,6.678772,-6.895293,2.0156415
1583283471388,6.685602,-6.9151816,1.9862635
1583283471438,6.6942368,-6.881924,2.0053291
1583283471487,6.723239,-6.896868,2.0124323
1583283471538,6.775634,-6.8622165,1.9498343
1583283471588,6.739418,-6.891041,1.9398801
1583283471637,6.6922445,-6.9137807,1.845584
1583283471687,6.6636825,-6.9334707,1.9116081
1583283471737,6.6366568,-6.95793,1.9575306
1583283471788,6.699776,-6.941243,2.0520425
1583283471838,6.759373,-6.8501225,2.1401598
1583283471888,6.97557,-6.5663733,2.688136
1583283471938,7.586689,-6.927113,3.3397293
1583283471988,6.890568,-7.8623867,2.2936432
1583283472038,6.6283736,-9.309013,-0.71532744
1583283472087,7.541276,-11.020846,1.0461078
1583283472137,9.427442,-14.475636,3.6523786
1583283472188,11.941367,-18.245749,4.855677
1583283472238,10.780473,-8.758711,7.9510403
1583283472288,7.6867394,-7.4469094,4.4682164
1583283472337,4.5584335,-13.526728,-5.8292265
1583283472388,-1.6204169,-16.269077,-17.089123
1583283472437,-5.7731237,-1.7821746,-20.760565
1583283472487,1.6565342,8.4765215,-12.790974
1583283472537,14.953592,9.773376,1.7562075
1583283472587,18.39679,8.254952,12.945799
1583283472637,20.41658,-0.07339525,17.630781
1583283472688,29.389784,-10.597384,20.713417
1583283472737,29.621353,-25.25497,13.700487
1583283472788,17.428946,-28.930983,7.604882
1583283472838,9.722315,-26.525408,-2.2844882
1583283472888,6.655791,-21.038887,-10.700102
1583283472937,7.0031304,-10.189502,-12.925396
1583283472987,7.717311,2.0708888,-9.301688
1583283473038,11.357217,5.497529,-6.34973
1583283473087,12.657498,9.492868,1.1127548
1583283473137,12.422165,14.123636,12.065514
1583283473187,15.53766,10.269082,19.102192
1583283473237,21.445843,1.5133514,22.799728
1583283473287,24.851603,-11.959301,23.443783
1583283473338,20.127455,-23.179066,18.941128
1583283473387,12.888557,-24.819588,9.026346
1583283473438,6.8451824,-22.575464,-1.544266
1583283473487,3.6861413,-16.811909,-8.434977
1583283473538,4.1601315,-6.331696,-9.532304
1583283473588,4.2689166,3.436356,-7.418717
1583283473638,8.85182,4.6031456,-3.8913574
1583283473687,12.105744,7.7335486,3.817636
1583283473738,12.615633,11.001763,11.806201
1583283473788,13.619847,10.31683,16.297258
1583283473837,17.390892,4.1566143,19.951004
1583283473888,25.06759,-7.7531934,22.145025
1583283473937,22.326422,-19.56583,19.505613
1583283473987,13.05271,-22.857946,12.309624
1583283474038,6.667905,-21.475727,4.980141
1583283474087,3.9836667,-17.486431,-0.9431958
1583283474137,4.373316,-10.369971,-5.250954
1583283474187,3.0152245,-1.8460476,-6.3194838
1583283474237,3.0541449,1.8309269,-6.132539
1583283474288,7.1440353,1.6338983,-4.1853185
1583283474338,11.614043,3.908573,-0.4241401
1583283474388,15.91482,9.990067,10.37254
1583283474437,14.635213,11.810718,16.662125
1583283474487,18.471058,7.937237,19.71749
1583283474537,25.239597,-0.1715858,20.714403
1583283474588,27.367605,-12.918513,17.081493
1583283474637,20.751493,-19.784689,10.37995
1583283474687,11.24612,-22.132456,2.4692492
1583283474738,5.2582517,-20.110867,-2.6214757
1583283474788,3.8684647,-14.808468,-6.2340927
1583283474838,3.4423804,-6.300454,-7.1073103
1583283474888,2.8227363,-0.569602,-5.7568693
1583283474938,4.9410715,0.36074796,-4.5814595
1583283474987,9.587983,1.1106944,-1.297202
1583283475038,13.098755,7.115867,6.0981655
1583283475088,12.223762,14.010505,12.650059
1583283475138,11.819293,11.883891,14.877674
1583283475187,17.762508,6.1088305,17.717731
1583283475237,24.440361,-1.551837,18.845257
1583283475288,24.131,-12.62751,17.017347
1583283475338,16.449419,-18.545563,14.488962
1583283475388,11.023998,-21.957373,7.8905687
1583283475437,7.532814,-19.893982,0.22667193
1583283475488,5.146202,-13.650393,-4.528184
1583283475537,4.5526333,-4.8084927,-5.3985224
1583283475587,3.0887997,0.98734254,-4.365063
1583283475637,5.1805744,3.0172596,-2.9125333
1583283475687,8.749625,5.7037554,-0.28264046
1583283475738,8.317442,8.621888,4.825049
1583283475787,12.281576,8.001973,8.946678
1583283475837,16.335014,7.5597486,14.751778
1583283475887,21.172787,4.8296313,18.214663
1583283475937,24.76279,-3.5993311,17.70708
1583283475988,22.99049,-12.866547,15.718745
1583283476037,18.18982,-18.749073,12.105924
1583283476087,11.811955,-22.995468,5.7198143
1583283476137,7.0520577,-20.290285,0.8333209
1583283476187,7.340193,-13.906516,-2.3216238
1583283476237,7.0089793,-5.9234314,-3.7377594
1583283476287,4.638811,-1.5567493,-3.4179256
1583283476337,4.690867,1.564369,-2.17963
1583283476387,7.820092,3.216508,0.9681747
1583283476438,8.801355,6.1957726,4.8940105
1583283476487,8.776107,8.642146,7.4091225
1583283476537,8.347805,7.1677957,8.2526655
1583283476588,12.119883,4.0237784,8.421614
1583283476638,16.57221,0.4901018,6.522933
1583283476687,18.650103,-3.9000506,3.091495
1583283476738,19.213089,-6.361698,2.335942
1583283476787,18.053902,-5.728302,4.515616
1583283476838,16.036243,-5.818569,7.7123938
1583283476887,14.092162,-6.784652,9.805204
1583283476937,12.344318,-7.028473,8.096605
1583283476987,11.786812,-5.9848275,4.59708
1583283477037,12.762531,-5.78149,1.946507
1583283477087,14.299388,-4.3679886,0.98051876
1583283477137,15.520361,-5.4851036,0.54340637
1583283477188,16.089222,-6.462513,0.93242216
1583283477238,13.735785,-6.142633,1.8453383
1583283477288,8.690289,-5.2423043,2.6117833
1583283477337,4.9297247,-5.5681148,2.9421475
1583283477387,2.3256273,-4.83956,3.027604
1583283477437,0.039696574,-3.7272143,3.9641707
1583283477487,-0.53909016,-4.4085875,6.0399175
1583283477538,-0.4906902,-3.0371528,5.997762
1583283477588,-0.5902518,-5.43271,5.3753157
1583283477638,-0.05475536,-7.43587,5.08744
1583283477688,0.008011468,-8.979812,4.410257
1583283477737,-2.4458516,-9.608457,5.182795
1583283477787,-3.6921167,-8.858939,4.3090444
1583283477837,-4.094359,-8.014768,4.251125
1583283477887,-3.4613056,-7.9781423,4.745022
1583283477938,-3.682641,-6.316885,4.280766
1583283477988,-3.6652963,-6.5685067,4.441061
1583283478038,-5.793934,-5.7883196,4.6497607
1583283478087,-6.712932,-7.13637,4.5550404
1583283478138,-6.755843,-6.037465,4.7565055
1583283478188,-6.728439,-5.278083,4.214769
1583283478237,-6.150397,-5.9698944,4.712134
1583283478288,-6.360073,-4.779693,4.634283
1583283478338,-6.152225,-4.984984,4.270648
1583283478388,-5.979915,-5.330239,4.4604197
1583283478438,-6.1953015,-5.74473,4.5582566
