Time,rotX,rotY,rotZosboxe
1583287500362,0.03685689,-0.13630943,-0.087138094
1583287500413,-0.007569289,-0.10378085,-0.0259885
1583287500462,-0.019484254,-0.07240231,0.0165894
1583287500512,-0.004939805,-0.05675081,0.004252001
1583287500562,-0.002738426,-0.021904774,0.01665891
1583287500612,-0.04041805,0.0133865625,0.036737505
1583287500662,-0.009665756,-0.010115586,0.066147074
1583287500713,-0.005586884,-0.011491599,0.05420548
1583287500763,0.06475669,-0.04799843,0.12852156
1583287500812,0.44045684,-0.009015171,0.26861578
1583287500862,1.8971816,0.1251057,0.72119486
1583287500912,2.3360162,0.43618315,1.3449676
1583287500962,2.0340307,0.16302271,1.6106055
1583287501012,1.7572587,-0.085572846,1.4939071
1583287501063,0.9140466,-0.24285206,1.00853
1583287501112,0.6495696,-0.3364671,0.39923102
1583287501162,0.5298677,-0.11425219,-0.18368696
1583287501212,-0.35823524,0.37020463,-0.47386888
1583287501262,-0.4586929,0.5807128,-0.625364
1583287501312,-0.19068061,0.5889196,-0.615061
1583287501363,-0.17575568,0.66670305,-0.5337337
1583287501412,0.078199536,0.6244005,-0.29456455
1583287501463,0.4200667,0.63304514,-0.040412102
1583287501513,0.3839904,0.69798374,0.04560146
1583287501563,0.1259401,0.86649984,0.07525327
1583287501612,-0.7869664,1.1257182,0.1567581
1583287501663,-1.1215557,0.952079,0.59348965
1583287501712,-1.1886765,0.5506737,0.89081633
1583287501763,-1.2184952,0.29134744,0.897101
1583287501813,-0.6810505,0.1730292,0.6967129
1583287501862,-0.2162505,0.18693396,0.4422228
1583287501912,-0.13963991,0.18664205,0.23682342
1583287501962,-0.24368386,0.1370376,0.10792539
1583287502013,-0.44251308,0.07143749,0.016602878
1583287502062,-0.41673458,-0.04839948,-0.068504
1583287502112,-0.7439925,-0.22845708,-0.11153398
1583287502162,-1.3267883,-0.44439754,-0.19602111
1583287502213,-1.5012507,-0.6037494,-0.36989272
1583287502262,-0.6742895,-0.5394112,-0.44776753
1583287502313,0.023340171,-0.40921748,-0.384543
1583287502362,-0.029598417,-0.37076145,-0.2839947
1583287502413,-0.03114877,-0.3825093,-0.12642042
1583287502462,-0.065822154,-0.41681045,-0.045352653
1583287502513,0.03828971,-0.43076134,-0.03800573
1583287502562,0.839909,-0.33592984,0.004501348
1583287502613,1.2931678,-0.20259345,0.14507219
1583287502662,1.14178,-0.0426111,0.316278
1583287502712,0.67978615,0.07234935,0.4200464
1583287502762,0.18064325,0.26474485,0.50732094
1583287502813,-0.13416065,0.37314618,0.4800421
1583287502862,-0.27460077,0.2567332,0.41324726
1583287502913,-0.45662543,0.08875689,0.25726593
1583287502962,-0.87976116,-0.036112934,0.07559677
1583287503013,-1.1910797,-0.22012502,-0.13678783
1583287503062,-0.8884417,-0.52181274,-0.45618618
1583287503112,-0.6084221,-0.91879654,-0.54150707
1583287503163,-0.7521,-1.2696356,-0.38774738
1583287503213,-0.85733503,-1.598364,-0.2237694
1583287503263,-0.8772722,-1.8424021,-0.48816365
1583287503312,-0.3245548,-1.8100256,-1.022029
1583287503362,0.13484563,-1.713919,-1.2306211
1583287503412,-0.22538656,-1.6251824,-1.1595912
1583287503462,-1.0201318,-1.6120712,-1.0732074
1583287503512,-0.47331998,-0.7113767,-0.6409711
1583287503563,0.06647934,-0.14762557,-0.3535248
1583287503612,0.4607241,-0.43244913,-0.35142714
1583287503663,0.43362173,-0.5520431,-0.35511124
1583287503713,0.27923065,-0.4463071,-0.28445485
1583287503763,0.20734045,-0.38031405,-0.19165643
1583287503812,0.04878602,-0.4050549,-0.15156873
1583287503862,0.2015398,-0.3720046,-0.124132045
1583287503913,0.1701413,-0.29805553,-0.09734344
1583287503962,0.040731534,-0.21126574,-0.078815185
1583287504013,-0.020414526,-0.13342746,-0.06513914
1583287504063,0.061752707,-0.113694154,-0.03975862
1583287504113,0.1506098,-0.084554344,-0.0045238356
1583287504163,0.5013047,-0.08554686,0.06274349
1583287504213,1.5190907,-0.12854959,0.26873776
1583287504262,2.9635139,-0.31427705,0.49718636
1583287504312,2.5085306,-0.30806088,0.71993244
1583287504362,1.8257945,-0.37196642,0.40429488
1583287504413,0.5507029,-0.29285204,-0.33024326
1583287504463,-0.01803253,0.15693149,-0.81883466
1583287504512,-0.21293019,0.48068503,-0.9466514
1583287504562,-1.2695348,0.13929382,-0.6285006
1583287504612,-1.309642,-0.21074295,0.060799066
1583287504663,-0.7050923,-0.28389755,0.28897667
1583287504713,-0.32061478,-0.15727082,0.07833333
1583287504763,-0.55869013,0.03229937,-0.12855992
1583287504812,-0.4853973,0.14045922,-0.20260993
1583287504863,-0.18575226,0.1410039,-0.1780671
1583287504913,-0.027917126,0.11830824,-0.14678541
1583287504963,-0.06471416,0.09470559,-0.11975833
1583287505012,-0.056883454,0.049512424,-0.07793545
1583287505063,-0.006978756,-0.007857072,-0.04785145
1583287505112,-0.017879501,-0.040329695,-0.07607687
1583287505162,-0.05411827,-0.017716536,-0.13653904
1583287505212,-0.06250046,0.0061989985,-0.1390169
1583287505262,-0.008400099,-0.016985586,-0.036927383
1583287505312,0.034972116,-0.069032095,0.07317132
1583287505363,0.08734997,-0.13123935,0.15858608
1583287505413,0.102195494,-0.15393762,0.18631613
1583287505463,0.09214412,-0.14027278,0.12957413
1583287505512,0.07650815,-0.1154107,0.022353899
1583287505562,0.028470816,-0.04336673,-0.1031397
1583287505613,0.03740462,0.035906494,-0.19991778
1583287505662,0.04867105,0.09311189,-0.23815437
1583287505713,0.0738817,0.09664741,-0.23977518
